"SPOT.Open","SPOT.High","SPOT.Low","SPOT.Close","SPOT.Volume","SPOT.Adjusted","Date"
144.070007324219,148,143.009994506836,145.309997558594,1224100,145.309997558594,2020-05-04
147.360000610352,148.449996948242,144.029998779297,145.020004272461,1231000,145.020004272461,2020-05-05
146.809997558594,149.966003417969,146.050003051758,148.479995727539,1280700,148.479995727539,2020-05-06
150,151.669998168945,147.139999389648,148.039993286133,1421700,148.039993286133,2020-05-07
149.789993286133,153.270004272461,149.070007324219,152.149993896484,912400,152.149993896484,2020-05-08
152.850006103516,159.020004272461,151.600006103516,156.020004272461,1294500,156.020004272461,2020-05-11
157.440002441406,158.365005493164,153.570007324219,153.940002441406,1099300,153.940002441406,2020-05-12
154.630004882812,154.869995117188,146.679992675781,148.979995727539,974900,148.979995727539,2020-05-13
148,152.199996948242,146.940002441406,152.070007324219,895200,152.070007324219,2020-05-14
150.550003051758,159,150.160003662109,158.830001831055,1511500,158.830001831055,2020-05-15
160,163.880004882812,158.720001220703,161.429992675781,1306500,161.429992675781,2020-05-18
161.940002441406,179.690002441406,161.570007324219,175.029998779297,4119400,175.029998779297,2020-05-19
174.990005493164,190.479995727539,174.009994506836,189.800003051758,4818500,189.800003051758,2020-05-20
188.809997558594,196.75,186.910003662109,192.740005493164,4318700,192.740005493164,2020-05-21
192,194.570007324219,187,190.169998168945,2156300,190.169998168945,2020-05-22
192,192.970001220703,183.759994506836,191,2482400,191,2020-05-26
189.300003051758,190,180.130004882812,185.949996948242,2326500,185.949996948242,2020-05-27
183.210006713867,185.899993896484,175.729995727539,177.220001220703,1858400,177.220001220703,2020-05-28
179.119995117188,181.779998779297,178.070007324219,180.929992675781,1158200,180.929992675781,2020-05-29
181.5,185,177.449996948242,182.710006713867,1309600,182.710006713867,2020-06-01
183,189.770004272461,182.899993896484,189.360000610352,1552400,189.360000610352,2020-06-02
189.360000610352,191.619995117188,183.509994506836,184.630004882812,1522000,184.630004882812,2020-06-03
184.229995727539,188.220001220703,180.300003051758,181.839996337891,1200100,181.839996337891,2020-06-04
179,184.720001220703,177.505004882812,184.279998779297,1157700,184.279998779297,2020-06-05
183.5,187.460006713867,180.5,187.300003051758,1202100,187.300003051758,2020-06-08
187.789993286133,194.589996337891,186.119995117188,191.309997558594,1582800,191.309997558594,2020-06-09
192.850006103516,197.276992797852,187.100006103516,189.399993896484,2112100,189.399993896484,2020-06-10
184.5,186.919998168945,177.210006713867,178.679992675781,1728800,178.679992675781,2020-06-11
183.860000610352,185.539993286133,177.809997558594,180.070007324219,907600,180.070007324219,2020-06-12
178.229995727539,188.809997558594,177.270004272461,187.880004882812,1396100,187.880004882812,2020-06-15
190.419998168945,190.919998168945,183.160003662109,185.479995727539,1061100,185.479995727539,2020-06-16
187,199.990005493164,186.350006103516,199.830001831055,3151700,199.830001831055,2020-06-17
209.789993286133,229.539993286133,206.539993286133,225.279998779297,12353200,225.279998779297,2020-06-18
234.5,242.25,228.710006713867,231.289993286133,12863200,231.289993286133,2020-06-19
228.330001831055,238.259994506836,227.070007324219,236.059997558594,6346100,236.059997558594,2020-06-22
242.410003662109,257.230010986328,240.5,241.759994506836,8055100,241.759994506836,2020-06-23
242.679992675781,247.606994628906,235.110000610352,242.860000610352,4949700,242.860000610352,2020-06-24
241.919998168945,268.299987792969,241.449996948242,267.470001220703,8578300,267.470001220703,2020-06-25
266.600006103516,271.709991455078,254.850006103516,264.950012207031,6497100,264.950012207031,2020-06-26
257.369995117188,270.989990234375,255.559997558594,265.140014648438,4766700,265.140014648438,2020-06-29
263.339996337891,265.779998779297,253.639999389648,258.190002441406,3515200,258.190002441406,2020-06-30
256,261.089996337891,254.320007324219,258.899993896484,3404200,258.899993896484,2020-07-01
264.5,274.299987792969,263.2080078125,271.489990234375,4247000,271.489990234375,2020-07-02
269.799987792969,272.670013427734,257.510009765625,260.260009765625,5167600,260.260009765625,2020-07-06
260.100006103516,267.75,255.501007080078,261.989990234375,2283600,261.989990234375,2020-07-07
266.570007324219,277.614990234375,262.700012207031,269.260009765625,3787800,269.260009765625,2020-07-08
272.769989013672,279.760009765625,268.679992675781,274.790008544922,2640400,274.790008544922,2020-07-09
275.450012207031,278.929992675781,273.519989013672,278.239990234375,1772300,278.239990234375,2020-07-10
281.399993896484,285.399993896484,258.010009765625,261.190002441406,2834600,261.190002441406,2020-07-13
246.309997558594,262.899993896484,243.110000610352,262.799987792969,3861300,262.799987792969,2020-07-14
265,265.720001220703,254,258.5,1779400,258.5,2020-07-15
259.269989013672,272.350006103516,258.269989013672,268.679992675781,2794400,268.679992675781,2020-07-16
267.079986572266,269.040008544922,261.720001220703,263.230010986328,1658000,263.230010986328,2020-07-17
265.529998779297,292.760009765625,265.200012207031,291.190002441406,4110500,291.190002441406,2020-07-20
288.410003662109,289.813995361328,276.309997558594,276.380004882812,2548200,276.380004882812,2020-07-21
290.670013427734,299.670013427734,286.929992675781,289.619995117188,5062900,289.619995117188,2020-07-22
287.549987792969,288.989990234375,266.959991455078,267.540008544922,2812900,267.540008544922,2020-07-23
266.170013427734,270.815002441406,257.029998779297,268.739990234375,2406600,268.739990234375,2020-07-24
275.75,275.75,269.200012207031,272.5,1562100,272.5,2020-07-27
270,275.850006103516,266.859985351562,267.119995117188,1860900,267.119995117188,2020-07-28
254.880004882812,268.584991455078,251.020004272461,262.209991455078,3970600,262.209991455078,2020-07-29
252,264.320007324219,251.830001831055,261.790008544922,2667400,261.790008544922,2020-07-30
264.630004882812,265.075012207031,255.089996337891,257.820007324219,1809700,257.820007324219,2020-07-31
259,259.799987792969,251.509994506836,254.429992675781,1829800,254.429992675781,2020-08-03
256.959991455078,259.191986083984,250.009994506836,250.020004272461,1707200,250.020004272461,2020-08-04
249.839996337891,251.979995727539,246,249.25,1649400,249.25,2020-08-05
252.529998779297,256.359985351562,249.5,255.320007324219,1341300,255.320007324219,2020-08-06
256.019989013672,256.190002441406,248.628005981445,252.119995117188,1239200,252.119995117188,2020-08-07
251.490005493164,252.949996948242,241.270004272461,248.990005493164,1389600,248.990005493164,2020-08-10
246.610000610352,262.140014648438,243.511001586914,253.720001220703,2621000,253.720001220703,2020-08-11
255.360000610352,265.970001220703,251.690002441406,253.289993286133,2030100,253.289993286133,2020-08-12
249.419998168945,254.690002441406,247.300003051758,253.660003662109,1388600,253.660003662109,2020-08-13
255.979995727539,258.589996337891,249.660003662109,251.320007324219,983900,251.320007324219,2020-08-14
254.309997558594,260.980010986328,250.860000610352,259.910003662109,1345400,259.910003662109,2020-08-17
258.959991455078,260.670013427734,253.619995117188,256.799987792969,989100,256.799987792969,2020-08-18
259.980010986328,264.5,256.920013427734,261.720001220703,1372000,261.720001220703,2020-08-19
260,270.890014648438,258.638000488281,269.329986572266,1730700,269.329986572266,2020-08-20
271.029998779297,276.877014160156,268.630004882812,270.980010986328,1612100,270.980010986328,2020-08-21
276.809997558594,279.239990234375,266.108001708984,269.130004882812,1250000,269.130004882812,2020-08-24
267.779998779297,269.269989013672,257.480010986328,268.690002441406,1266000,268.690002441406,2020-08-25
268.760009765625,280,268.760009765625,278.290008544922,1314400,278.290008544922,2020-08-26
278.980010986328,278.989990234375,268.140014648438,272.010009765625,1243900,272.010009765625,2020-08-27
276.100006103516,284.614990234375,274.059997558594,279.359985351562,1378000,279.359985351562,2020-08-28
