"IBGX.MI.Open","IBGX.MI.High","IBGX.MI.Low","IBGX.MI.Close","IBGX.MI.Volume","IBGX.MI.Adjusted","Date"
173.509994506836,173.889999389648,173.509994506836,173.789993286133,6431,165.79753112793,2020-06-22
173.699996948242,173.789993286133,173.570007324219,173.649993896484,7822,165.663970947266,2020-06-23
173.630004882812,173.740005493164,173.559997558594,173.740005493164,9009,165.749847412109,2020-06-24
173.740005493164,173.839996337891,173.669998168945,173.820007324219,20741,165.826171875,2020-06-25
173.869995117188,173.940002441406,173.789993286133,173.869995117188,3692,165.87385559082,2020-06-26
173.869995117188,173.899993896484,173.75,173.850006103516,8984,165.854782104492,2020-06-29
173.779998779297,173.960006713867,173.75,173.850006103516,5270,165.854782104492,2020-06-30
173.789993286133,173.869995117188,173.5,173.550003051758,6603,165.568572998047,2020-07-01
173.649993896484,173.830001831055,173.619995117188,173.789993286133,14900,165.79753112793,2020-07-02
173.880004882812,173.940002441406,173.679992675781,173.740005493164,5743,165.749847412109,2020-07-03
173.699996948242,173.839996337891,173.649993896484,173.800003051758,11128,165.807083129883,2020-07-06
173.839996337891,173.899993896484,173.729995727539,173.779998779297,4502,165.788009643555,2020-07-07
173.839996337891,174.029998779297,173.779998779297,173.830001831055,3087,165.835693359375,2020-07-08
173.820007324219,173.910003662109,173.789993286133,173.940002441406,5860,165.940643310547,2020-07-09
173.850006103516,173.929992675781,173.820007324219,173.869995117188,5117,165.87385559082,2020-07-10
173.779998779297,173.820007324219,173.630004882812,173.619995117188,7820,165.635345458984,2020-07-13
173.699996948242,173.789993286133,173.639999389648,173.75,2045,165.759368896484,2020-07-14
173.899993896484,173.899993896484,173.720001220703,173.809997558594,7448,165.816619873047,2020-07-15
173.720001220703,173.990005493164,173.690002441406,173.949996948242,6997,165.950180053711,2020-07-16
173.940002441406,173.960006713867,173.789993286133,173.839996337891,16149,165.845230102539,2020-07-17
173.860000610352,174.119995117188,173.779998779297,174.070007324219,17475,166.064666748047,2020-07-20
174.229995727539,174.229995727539,174.009994506836,174.089996337891,3567,166.083740234375,2020-07-21
174.130004882812,174.369995117188,174.100006103516,174.330001831055,5077,166.312698364258,2020-07-22
174.320007324219,174.410003662109,174.25,174.289993286133,7857,166.274536132812,2020-07-23
174.279998779297,174.320007324219,174.009994506836,174.110000610352,5433,166.102813720703,2020-07-24
174.259994506836,174.259994506836,174.029998779297,174.220001220703,4379,166.207763671875,2020-07-27
174.220001220703,174.309997558594,174.139999389648,174.240005493164,3319,166.226852416992,2020-07-28
174.229995727539,174.320007324219,174.179992675781,174.259994506836,6192,166.245910644531,2020-07-29
174.270004272461,174.490005493164,174.270004272461,174.470001220703,4587,166.446258544922,2020-07-30
174.509994506836,174.539993286133,174.240005493164,174.350006103516,7264,166.331802368164,2020-07-31
174.320007324219,174.919998168945,174.210006713867,174.309997558594,5737,166.29362487793,2020-08-03
174.350006103516,174.559997558594,174.300003051758,174.429992675781,1841,166.408096313477,2020-08-04
174.679992675781,174.679992675781,174.289993286133,174.350006103516,6957,166.331802368164,2020-08-05
174.339996337891,174.520004272461,174.300003051758,174.490005493164,4629,166.465347290039,2020-08-06
174.389999389648,174.5,174.389999389648,174.419998168945,2975,166.398559570312,2020-08-07
174.220001220703,174.589996337891,174.220001220703,174.520004272461,5728,166.49397277832,2020-08-10
174.490005493164,175,174.300003051758,174.350006103516,4199,166.331802368164,2020-08-11
174.350006103516,174.350006103516,174.169998168945,174.270004272461,7691,166.255462646484,2020-08-12
174.259994506836,174.369995117188,174.020004272461,174.009994506836,4302,166.007431030273,2020-08-13
174.039993286133,174.139999389648,173.919998168945,174.089996337891,3578,166.083740234375,2020-08-14
174.190002441406,174.300003051758,174.089996337891,174.309997558594,12244,166.29362487793,2020-08-17
174.429992675781,174.429992675781,174.229995727539,174.320007324219,15234,166.303176879883,2020-08-18
174.449996948242,174.550003051758,174.369995117188,174.410003662109,1639,166.389022827148,2020-08-19
174.449996948242,174.570007324219,174.429992675781,174.460006713867,1511,166.436737060547,2020-08-20
174.479995727539,174.570007324219,174.399993896484,174.440002441406,2894,166.41764831543,2020-08-21
174.429992675781,174.490005493164,174.289993286133,174.350006103516,4569,166.331802368164,2020-08-24
174.179992675781,174.300003051758,173.949996948242,174.020004272461,10480,166.016967773438,2020-08-25
173.990005493164,174.110000610352,173.949996948242,174.070007324219,2849,166.064666748047,2020-08-26
174.110000610352,174.300003051758,173.990005493164,173.990005493164,4490,165.988342285156,2020-08-27
174.050003051758,174.160003662109,173.970001220703,174.130004882812,16016,166.12190246582,2020-08-28
174.089996337891,174.100006103516,173.960006713867,173.960006713867,10645,165.959716796875,2020-08-31
174.029998779297,174.160003662109,173.850006103516,174.149993896484,1798,166.140975952148,2020-09-01
174.289993286133,174.5,174.279998779297,174.440002441406,2608,166.41764831543,2020-09-02
174.449996948242,174.550003051758,174.320007324219,174.429992675781,3743,166.408096313477,2020-09-03
174.440002441406,174.529998779297,174.279998779297,174.330001831055,5503,166.312698364258,2020-09-04
174.25,174.350006103516,174.210006713867,174.240005493164,4085,166.226852416992,2020-09-07
174.270004272461,174.389999389648,174.169998168945,174.320007324219,3663,166.303176879883,2020-09-08
174.380004882812,174.470001220703,174.25,174.330001831055,19852,166.312698364258,2020-09-09
174.25,174.410003662109,174.080001831055,174.160003662109,4573,166.150543212891,2020-09-10
174.320007324219,174.350006103516,174.160003662109,174.339996337891,16066,166.322235107422,2020-09-11
174.460006713867,174.509994506836,174.410003662109,174.419998168945,4389,166.398559570312,2020-09-14
174.389999389648,174.5,174.300003051758,174.449996948242,5598,166.427185058594,2020-09-15
174.490005493164,174.570007324219,174.429992675781,174.479995727539,4841,166.455795288086,2020-09-16
174.550003051758,174.690002441406,174.399993896484,174.529998779297,19490,166.503509521484,2020-09-17
174.550003051758,174.789993286133,174.529998779297,174.559997558594,14364,166.532119750977,2020-09-18
174.529998779297,174.770004272461,174.460006713867,174.710006713867,6684,166.675231933594,2020-09-21
174.789993286133,174.889999389648,174.720001220703,174.809997558594,4196,166.770629882812,2020-09-22
