"EM1015.MI.Open","EM1015.MI.High","EM1015.MI.Low","EM1015.MI.Close","EM1015.MI.Volume","EM1015.MI.Adjusted","Date"
239.330001831055,239.990005493164,239.330001831055,239.360000610352,409,239.360000610352,2020-06-30
238.759994506836,239.199996948242,238.279998779297,238.240005493164,623,238.240005493164,2020-07-01
238.559997558594,239.600006103516,238.559997558594,239.479995727539,2264,239.479995727539,2020-07-02
239.869995117188,239.910003662109,238.960006713867,239.119995117188,1484,239.119995117188,2020-07-03
239,239.770004272461,238.75,239.589996337891,1343,239.589996337891,2020-07-06
239.75,239.899993896484,239.399993896484,239.759994506836,1859,239.759994506836,2020-07-07
240.149993896484,240.479995727539,240.039993286133,240.309997558594,756,240.309997558594,2020-07-08
240.419998168945,240.630004882812,240.160003662109,240.479995727539,310,240.479995727539,2020-07-09
240.699996948242,240.809997558594,240.559997558594,240.559997558594,588,240.559997558594,2020-07-10
240.029998779297,240.029998779297,239.210006713867,239.270004272461,210,239.270004272461,2020-07-13
239.889999389648,240.380004882812,239.720001220703,240.25,1424,240.25,2020-07-14
240.699996948242,240.720001220703,239.990005493164,240.259994506836,379,240.259994506836,2020-07-15
240.570007324219,240.850006103516,240.110000610352,240.850006103516,580,240.850006103516,2020-07-16
240.600006103516,241.089996337891,240.600006103516,240.649993896484,275,240.649993896484,2020-07-17
240.649993896484,241.800003051758,240.639999389648,241.779998779297,96,241.779998779297,2020-07-20
241.940002441406,241.940002441406,241.5,241.740005493164,392,241.740005493164,2020-07-21
241.580001831055,242.679992675781,241.580001831055,242.529998779297,863,242.529998779297,2020-07-22
242.639999389648,243.009994506836,242.639999389648,242.940002441406,264,242.940002441406,2020-07-23
243.020004272461,243.020004272461,242.050003051758,242.320007324219,2573,242.320007324219,2020-07-24
242.380004882812,243.089996337891,242.320007324219,243.059997558594,798,243.059997558594,2020-07-27
242.759994506836,243.149993896484,242.690002441406,242.960006713867,737,242.960006713867,2020-07-28
243.179992675781,243.179992675781,242.619995117188,242.759994506836,680,242.759994506836,2020-07-29
243.070007324219,243.600006103516,243.070007324219,243.610000610352,7129,243.610000610352,2020-07-30
243.699996948242,243.860000610352,243.100006103516,243.029998779297,106,243.029998779297,2020-07-31
243.039993286133,243.059997558594,242.389999389648,243,707,243,2020-08-03
243.960006713867,244.300003051758,243.710006713867,244.139999389648,315,244.139999389648,2020-08-04
243.119995117188,243.399993896484,243.119995117188,243.399993896484,39,243.399993896484,2020-08-05
243.460006713867,244.520004272461,243.460006713867,244.25,314,244.25,2020-08-06
244.259994506836,244.309997558594,244.119995117188,244.119995117188,541,244.119995117188,2020-08-07
244.080001831055,244.660003662109,244.039993286133,244.419998168945,460,244.419998168945,2020-08-10
244,244,243.550003051758,243.5,79,243.5,2020-08-11
243.080001831055,243.190002441406,243.050003051758,243.080001831055,33,243.080001831055,2020-08-12
243.169998168945,243.330001831055,241.639999389648,241.619995117188,548,241.619995117188,2020-08-13
241.229995727539,241.919998168945,241.229995727539,241.880004882812,89,241.880004882812,2020-08-14
242.130004882812,242.490005493164,242.130004882812,242.830001831055,75,242.830001831055,2020-08-17
242.839996337891,243.130004882812,242.460006713867,243.009994506836,237,243.009994506836,2020-08-18
243.679992675781,243.679992675781,243.479995727539,243.509994506836,15,243.509994506836,2020-08-19
243.960006713867,244.210006713867,243.940002441406,243.839996337891,96,243.839996337891,2020-08-20
243.759994506836,243.779998779297,243.669998168945,243.619995117188,154,243.619995117188,2020-08-21
243.809997558594,243.809997558594,243.100006103516,243.509994506836,2213,243.509994506836,2020-08-24
243,243,241.179992675781,241.460006713867,2202,241.460006713867,2020-08-25
241.460006713867,241.610000610352,241.300003051758,241.470001220703,171,241.470001220703,2020-08-26
242.149993896484,242.619995117188,242.149993896484,241.160003662109,655,241.160003662109,2020-08-27
240.710006713867,241.309997558594,240.509994506836,241.210006713867,1469,241.210006713867,2020-08-28
241.100006103516,241.25,240.479995727539,240.539993286133,200,240.539993286133,2020-08-31
240.369995117188,240.940002441406,240.199996948242,241.160003662109,64,241.160003662109,2020-09-01
242.619995117188,242.830001831055,242.490005493164,242.820007324219,2930,242.820007324219,2020-09-02
242.820007324219,243.619995117188,242.479995727539,243.059997558594,1718,243.059997558594,2020-09-03
243.100006103516,243.309997558594,242.350006103516,242.460006713867,1908,242.460006713867,2020-09-04
242.300003051758,242.300003051758,242.100006103516,241.899993896484,226,241.899993896484,2020-09-07
241.940002441406,242.929992675781,241.940002441406,242.699996948242,1513,242.699996948242,2020-09-08
242.970001220703,243.199996948242,242.210006713867,242.240005493164,360,242.240005493164,2020-09-09
242.25,242.440002441406,241.929992675781,241.899993896484,123,241.899993896484,2020-09-10
242.970001220703,243,242.490005493164,243.059997558594,421,243.059997558594,2020-09-11
243.539993286133,243.800003051758,243.399993896484,243.389999389648,258,243.389999389648,2020-09-14
243.740005493164,243.740005493164,243.050003051758,243.75,821,243.75,2020-09-15
244.029998779297,244.429992675781,244.029998779297,244.050003051758,949,244.050003051758,2020-09-16
244,244.630004882812,244,244.330001831055,1242,244.330001831055,2020-09-17
244.539993286133,244.600006103516,244,244.059997558594,343,244.059997558594,2020-09-18
244.279998779297,245.330001831055,244.160003662109,244.970001220703,610,244.970001220703,2020-09-21
245.5,245.580001831055,245.160003662109,245.25,4804,245.25,2020-09-22
245.729995727539,245.729995727539,245.029998779297,245.419998168945,968,245.419998168945,2020-09-23
245.410003662109,245.800003051758,245.029998779297,245.190002441406,1007,245.190002441406,2020-09-24
245.350006103516,245.399993896484,245.160003662109,245.259994506836,1316,245.259994506836,2020-09-25
245.179992675781,245.350006103516,244.880004882812,245.339996337891,2180,245.339996337891,2020-09-28
245.770004272461,245.990005493164,245.639999389648,245.910003662109,1886,245.910003662109,2020-09-29
246,246,245.229995727539,245.240005493164,518,245.240005493164,2020-09-30
245.25,245.850006103516,245.160003662109,245.690002441406,729,245.690002441406,2020-10-01
246.259994506836,246.360000610352,246.009994506836,246.119995117188,1709,246.119995117188,2020-10-02
245.910003662109,246.309997558594,245.539993286133,245.660003662109,1599,245.660003662109,2020-10-05
245.809997558594,246.059997558594,245.720001220703,245.880004882812,237,245.880004882812,2020-10-06
245.740005493164,245.770004272461,245.399993896484,245.539993286133,395,245.539993286133,2020-10-07
245.800003051758,246.220001220703,245.800003051758,246.350006103516,1264,246.350006103516,2020-10-08
246.979995727539,247.169998168945,246.970001220703,247.039993286133,333,247.039993286133,2020-10-09
247.369995117188,247.399993896484,247.179992675781,247.589996337891,176,247.589996337891,2020-10-12
247.820007324219,247.820007324219,247.339996337891,247.789993286133,1806,247.789993286133,2020-10-13
248.169998168945,248.479995727539,248,248.039993286133,1848,248.039993286133,2020-10-14
248.399993896484,248.550003051758,248.389999389648,248.360000610352,281,248.360000610352,2020-10-15
248.649993896484,248.889999389648,248.589996337891,248.880004882812,95,248.880004882812,2020-10-16
248.5,248.5,247.710006713867,248.100006103516,31668,248.100006103516,2020-10-19
247.520004272461,247.860000610352,247.470001220703,247.710006713867,411,247.710006713867,2020-10-20
247.619995117188,247.619995117188,247.110000610352,247.119995117188,234,247.119995117188,2020-10-21
247.179992675781,247.179992675781,246.270004272461,246.470001220703,214,246.470001220703,2020-10-22
246.610000610352,246.960006713867,246.5,246.960006713867,720,246.960006713867,2020-10-23
247.669998168945,247.669998168945,247.110000610352,247.160003662109,929,247.160003662109,2020-10-26
247.160003662109,247.949996948242,247.160003662109,248.029998779297,488,248.029998779297,2020-10-27
248.059997558594,248.059997558594,247.309997558594,247.619995117188,667,247.619995117188,2020-10-28
247.699996948242,248.460006713867,247.699996948242,248.580001831055,187,248.580001831055,2020-10-29
248.139999389648,248.449996948242,248.139999389648,248.309997558594,444,248.309997558594,2020-10-30
247.960006713867,248.669998168945,247.869995117188,248.610000610352,651,248.610000610352,2020-11-02
248.339996337891,248.720001220703,248.339996337891,248.520004272461,145,248.520004272461,2020-11-03
249.070007324219,249.520004272461,248.979995727539,249.070007324219,615,249.070007324219,2020-11-04
249.559997558594,249.789993286133,249.389999389648,249.320007324219,305,249.320007324219,2020-11-05
249.589996337891,249.589996337891,248.990005493164,249,293,249,2020-11-06
249.830001831055,249.919998168945,246.179992675781,246.5,353,246.5,2020-11-09
246.429992675781,246.770004272461,246,246.240005493164,422,246.240005493164,2020-11-10
245.869995117188,246.919998168945,245.869995117188,246.800003051758,451,246.800003051758,2020-11-11
246.970001220703,247.580001831055,246.809997558594,247.630004882812,1368,247.630004882812,2020-11-12
248.029998779297,248.270004272461,247.979995727539,248.270004272461,188,248.270004272461,2020-11-13
248.669998168945,248.669998168945,247.979995727539,248.429992675781,68,248.429992675781,2020-11-16
248.559997558594,248.869995117188,248.479995727539,248.910003662109,299,248.910003662109,2020-11-17
249.139999389648,249.139999389648,248.619995117188,248.690002441406,814,248.690002441406,2020-11-18
249.039993286133,249.149993896484,248.830001831055,249.149993896484,342,249.149993896484,2020-11-19
249.029998779297,249.289993286133,248.899993896484,249.289993286133,1278,249.289993286133,2020-11-20
249.559997558594,249.559997558594,249.039993286133,249.100006103516,279,249.100006103516,2020-11-23
249.059997558594,249.190002441406,249.020004272461,249,237,249,2020-11-24
249.149993896484,249.259994506836,249.070007324219,249.070007324219,878,249.070007324219,2020-11-25
