"UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","Date"
338.130004882812,338.880004882812,334.329986572266,337.070007324219,3071700,312.779022216797,2020-12-11
340.029998779297,343.230010986328,335.859985351562,336.130004882812,2479000,311.906799316406,2020-12-14
339.140014648438,341.010009765625,337.040008544922,339.670013427734,2616500,315.191650390625,2020-12-15
336.829986572266,341.660003662109,334.260009765625,339.339996337891,2365600,314.885345458984,2020-12-16
339.809997558594,342.600006103516,337.309997558594,341.670013427734,2525700,317.047485351562,2020-12-17
342.519989013672,342.609985351562,334,338.380004882812,8742700,313.994567871094,2020-12-18
332.070007324219,336.950012207031,329.399993896484,336.079986572266,2892700,311.8603515625,2020-12-21
335.160003662109,336.980010986328,333.470001220703,335.010009765625,2069700,310.867492675781,2020-12-22
336.489990234375,341.649993896484,336.029998779297,337.589996337891,2348100,313.261566162109,2020-12-23
336.440002441406,341.410003662109,336.440002441406,340.790008544922,1360600,316.230926513672,2020-12-24
343.209991455078,347.790008544922,343.059997558594,345.950012207031,2308200,321.019134521484,2020-12-28
347.989990234375,351.290008544922,345,347.350006103516,2275700,322.318176269531,2020-12-29
347.079986572266,349.010009765625,344.470001220703,344.989990234375,1866000,320.128265380859,2020-12-30
345.040008544922,351.089996337891,344.049987792969,350.679992675781,1969000,325.408203125,2020-12-31
351.450012207031,352.079986572266,340.380004882812,349.5,4203800,324.313293457031,2021-01-04
348.690002441406,351.359985351562,344.480010986328,344.799987792969,3160500,319.951934814453,2021-01-05
337.109985351562,359.489990234375,335.109985351562,359.269989013672,6561400,333.379150390625,2021-01-06
358.540008544922,366.450012207031,357.920013427734,365.029998779297,3366700,338.72412109375,2021-01-07
367,367.489990234375,358.760009765625,363.390014648438,2947800,337.202301025391,2021-01-08
362.619995117188,364.290008544922,359.190002441406,360.75,2695100,334.752471923828,2021-01-11
357.940002441406,360.079986572266,355.230010986328,357.369995117188,2372500,331.616119384766,2021-01-12
356.040008544922,356.809997558594,351.230010986328,355.040008544922,1974500,329.454040527344,2021-01-13
356.850006103516,358.809997558594,350.420013427734,350.529998779297,2919900,325.269012451172,2021-01-14
349.119995117188,353.049987792969,345.739990234375,351.299987792969,3777000,325.983520507812,2021-01-15
356.209991455078,356.959991455078,351.559997558594,352.190002441406,3361300,326.809326171875,2021-01-19
351.880004882812,352.079986572266,345.829986572266,350.839996337891,3036800,325.556640625,2021-01-20
350.809997558594,360.890014648438,350.739990234375,355,3749800,329.416931152344,2021-01-21
353.309997558594,354.619995117188,347.540008544922,347.549987792969,2585100,322.503784179688,2021-01-22
347.149993896484,350.390014648438,344.600006103516,347.809997558594,2506300,322.744995117188,2021-01-25
350.510009765625,351.510009765625,342.570007324219,343.109985351562,2467500,318.383728027344,2021-01-26
337.040008544922,338,329.010009765625,332.989990234375,4770900,308.993103027344,2021-01-27
336.640014648438,346.579986572266,334.510009765625,338.149993896484,2769900,313.781219482422,2021-01-28
336.529998779297,339.019989013672,330.630004882812,333.579986572266,3899200,309.540557861328,2021-01-29
335.029998779297,338.149993896484,332.739990234375,334,3020200,309.930267333984,2021-02-01
337.100006103516,344.640014648438,337.100006103516,338.720001220703,2663700,314.310150146484,2021-02-02
338,340.160003662109,334.600006103516,337.890014648438,2537100,313.539978027344,2021-02-03
332.320007324219,335.290008544922,328.390014648438,329.320007324219,5962200,305.587524414062,2021-02-04
332.109985351562,333.480010986328,323.480010986328,324.510009765625,7227900,301.124176025391,2021-02-05
327.010009765625,327.019989013672,323.809997558594,324.339996337891,4758200,300.966369628906,2021-02-08
323.899993896484,331.040008544922,321.709991455078,329.630004882812,4096900,305.875183105469,2021-02-09
332.660003662109,335.760009765625,329.769989013672,333.399993896484,4122700,309.373474121094,2021-02-10
335,336.649993896484,331.5,333.070007324219,2776700,309.067291259766,2021-02-11
331.679992675781,332.399993896484,327.880004882812,328.239990234375,2760800,304.585418701172,2021-02-12
327.359985351562,329.839996337891,322.480010986328,324.619995117188,4339000,301.226196289062,2021-02-16
323.459991455078,328.600006103516,322.239990234375,326.859985351562,2620000,303.304840087891,2021-02-17
325.899993896484,329.579986572266,325.200012207031,328.410003662109,2383500,304.743103027344,2021-02-18
328.75,328.850006103516,324.109985351562,324.579986572266,2313800,301.189086914062,2021-02-19
321.5,329.049987792969,320.350006103516,327.640014648438,2688300,304.028625488281,2021-02-22
329.989990234375,333.940002441406,326.640014648438,329.510009765625,3225700,305.763824462891,2021-02-23
328.489990234375,333.600006103516,326.040008544922,332.209991455078,3360500,308.269287109375,2021-02-24
331,333.600006103516,327.359985351562,328.869995117188,2780100,305.169921875,2021-02-25
330.549987792969,337.910003662109,329.850006103516,332.220001220703,5430000,308.278533935547,2021-02-26
334.359985351562,338.910003662109,333.679992675781,334.649993896484,4198900,310.533416748047,2021-03-01
335,337.670013427734,333.890014648438,334.640014648438,2568900,310.524139404297,2021-03-02
333.320007324219,338.160003662109,332.779998779297,332.869995117188,3039700,308.881683349609,2021-03-03
334.170013427734,340.839996337891,332.670013427734,333.809997558594,4991600,309.75390625,2021-03-04
335.029998779297,348.290008544922,335.019989013672,347.100006103516,4563100,322.086212158203,2021-03-05
347.010009765625,354,345.600006103516,350.170013427734,3419900,324.934936523438,2021-03-08
352.920013427734,361.25,351.339996337891,351.980010986328,4277600,326.614593505859,2021-03-09
353.910003662109,354.480010986328,348.5,349.600006103516,3012300,324.406036376953,2021-03-10
350.760009765625,355.970001220703,349.869995117188,353.100006103516,2520500,327.653747558594,2021-03-11
353.170013427734,356.820007324219,351.989990234375,356.019989013672,2088700,331.537048339844,2021-03-12
356.920013427734,357.940002441406,351.549987792969,353.880004882812,2343400,329.544219970703,2021-03-15
353.529998779297,355.359985351562,351.910003662109,354.600006103516,2904200,330.214752197266,2021-03-16
355.170013427734,358.070007324219,351.829986572266,352.179992675781,2633100,327.961151123047,2021-03-17
352.869995117188,364.320007324219,352.339996337891,362.049987792969,3311600,337.152374267578,2021-03-18
361.920013427734,370.459991455078,359.010009765625,365.579986572266,8572900,340.439666748047,2021-03-19
365,368.579986572266,360.109985351562,366.859985351562,3505200,341.631622314453,2021-03-22
368.850006103516,371.540008544922,367.220001220703,368.5,3100100,343.158813476562,2021-03-23
366.049987792969,373.799987792969,365.510009765625,370.600006103516,3407800,345.114440917969,2021-03-24
