"ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted","Date"
318.549987792969,330.369995117188,317.869995117188,329.950012207031,5502900,329.950012207031,2022-11-10
330.339996337891,342.309997558594,329.489990234375,341.149993896484,4110100,341.149993896484,2022-11-11
338.070007324219,345.109985351562,334.429992675781,340.369995117188,3464500,340.369995117188,2022-11-14
348.410003662109,350.970001220703,342.559997558594,345.959991455078,2948600,345.959991455078,2022-11-15
345,345.019989013672,336.720001220703,338.410003662109,2123200,338.410003662109,2022-11-16
331.739990234375,339.869995117188,329.350006103516,337.829986572266,2740400,337.829986572266,2022-11-17
344.299987792969,344.700012207031,329.140014648438,330.859985351562,3421700,330.859985351562,2022-11-18
329.529998779297,330.25,320.600006103516,321.489990234375,3219900,321.489990234375,2022-11-21
322.489990234375,331.540008544922,320.200012207031,330.880004882812,2573800,330.880004882812,2022-11-22
329.929992675781,338.5,327.589996337891,335.779998779297,2240800,335.779998779297,2022-11-23
332.890014648438,335.510009765625,332.010009765625,334.299987792969,1197800,334.299987792969,2022-11-25
335.829986572266,338.190002441406,328.070007324219,328.970001220703,2314800,328.970001220703,2022-11-28
326.690002441406,329.700012207031,323.670013427734,326.779998779297,2392600,326.779998779297,2022-11-29
327.119995117188,345.029998779297,326.380004882812,344.929992675781,4979800,344.929992675781,2022-11-30
348.029998779297,350.670013427734,341.5,344.109985351562,3365200,344.109985351562,2022-12-01
337.200012207031,343.529998779297,334.220001220703,341.529998779297,2741800,341.529998779297,2022-12-02
337.799987792969,340.510009765625,330.829986572266,334.089996337891,2542300,334.089996337891,2022-12-05
334.089996337891,334.220001220703,327.399993896484,331.149993896484,2182200,331.149993896484,2022-12-06
327.529998779297,331,325.489990234375,326.679992675781,2055900,326.679992675781,2022-12-07
325.709991455078,336.200012207031,324.350006103516,332.579986572266,2065800,332.579986572266,2022-12-08
331.5,334.690002441406,328.5,330.640014648438,1969200,330.640014648438,2022-12-09
334.760009765625,338.269989013672,332.649993896484,338.170013427734,2914700,338.170013427734,2022-12-12
353.630004882812,355.670013427734,338.790008544922,342.459991455078,3428000,342.459991455078,2022-12-13
343.890014648438,345.950012207031,335,339.920013427734,3236500,339.920013427734,2022-12-14
332.760009765625,334.5,324.589996337891,328.709991455078,5498700,328.709991455078,2022-12-15
345,354.470001220703,337.239990234375,338.540008544922,11940700,338.540008544922,2022-12-16
338,340.739990234375,326.299987792969,328.760009765625,4086300,328.760009765625,2022-12-19
327,342.5,325.519989013672,338.220001220703,3873600,338.220001220703,2022-12-20
340.290008544922,345.290008544922,336.440002441406,341.380004882812,2583000,341.380004882812,2022-12-21
336.010009765625,339.880004882812,330.940002441406,336.519989013672,2319300,336.519989013672,2022-12-22
335,338.920013427734,333.290008544922,338.450012207031,1629800,338.450012207031,2022-12-23
338,338.160003662109,332.459991455078,335.089996337891,1464300,335.089996337891,2022-12-27
335.059997558594,338.5,327.190002441406,328.329986572266,1672100,328.329986572266,2022-12-28
330.75,339.5,329.760009765625,337.579986572266,1793100,337.579986572266,2022-12-29
333,336.640014648438,331.640014648438,336.529998779297,1740900,336.529998779297,2022-12-30
340.160003662109,345.820007324219,331.920013427734,336.920013427734,2229100,336.920013427734,2023-01-03
342.890014648438,345.630004882812,336.730010986328,341.410003662109,2186800,341.410003662109,2023-01-04
337.529998779297,337.549987792969,328.160003662109,328.440002441406,2081600,328.440002441406,2023-01-05
332.279998779297,334.880004882812,322.440002441406,332.75,2216600,332.75,2023-01-06
338.899993896484,349.459991455078,338.420013427734,341.980010986328,3133800,341.980010986328,2023-01-09
337.649993896484,344.630004882812,336.799987792969,338.700012207031,1670200,338.700012207031,2023-01-10
337.390014648438,343.190002441406,333.470001220703,342.929992675781,2344400,342.929992675781,2023-01-11
344.170013427734,346.440002441406,337.369995117188,344.540008544922,2121800,344.540008544922,2023-01-12
340.25,344.649993896484,335.5,344.380004882812,2581900,344.380004882812,2023-01-13
344.380004882812,350.790008544922,341.970001220703,344.380004882812,2512700,344.380004882812,2023-01-17
345.010009765625,349.239990234375,338.399993896484,341.309997558594,2079800,341.309997558594,2023-01-18
340.559997558594,346.730010986328,340.010009765625,342.529998779297,2467000,342.529998779297,2023-01-19
343.269989013672,357.420013427734,342.760009765625,356.380004882812,3149400,356.380004882812,2023-01-20
358.279998779297,365.869995117188,356.850006103516,364.980010986328,3187100,364.980010986328,2023-01-23
364.100006103516,364.450012207031,358,361.320007324219,2466400,361.320007324219,2023-01-24
355.670013427734,359.730010986328,350.570007324219,358.170013427734,2239100,358.170013427734,2023-01-25
362.760009765625,367.429992675781,360.720001220703,365.820007324219,2350500,365.820007324219,2023-01-26
363.489990234375,373.420013427734,362.850006103516,370.709991455078,2615600,370.709991455078,2023-01-27
365.899993896484,368.700012207031,362.829986572266,363.420013427734,2663600,363.420013427734,2023-01-30
364.709991455078,370.700012207031,364.010009765625,370.339996337891,2572400,370.339996337891,2023-01-31
370.010009765625,386.720001220703,366.799987792969,383.920013427734,3362000,383.920013427734,2023-02-01
393.279998779297,402.489990234375,388.880004882812,392.230010986328,4020000,392.230010986328,2023-02-02
384.290008544922,386.720001220703,377.920013427734,379.329986572266,2695400,379.329986572266,2023-02-03
376.209991455078,379.290008544922,373.390014648438,375.230010986328,2369600,375.230010986328,2023-02-06
373.429992675781,384.940002441406,372.760009765625,383.820007324219,2476200,383.820007324219,2023-02-07
382.489990234375,387.279998779297,375.700012207031,378.359985351562,2668100,378.359985351562,2023-02-08
384.970001220703,386.510009765625,374.019989013672,375.809997558594,2265200,375.809997558594,2023-02-09
371.630004882812,374.519989013672,367.079986572266,370.989990234375,1846300,370.989990234375,2023-02-10
373.410003662109,376.309997558594,371.029998779297,375,1877300,375,2023-02-13
375,380.559997558594,369.959991455078,377.899993896484,2479700,377.899993896484,2023-02-14
375.600006103516,381.670013427734,374.839996337891,375.940002441406,2088200,375.940002441406,2023-02-15
366.040008544922,373.489990234375,363.549987792969,365.160003662109,2917000,365.160003662109,2023-02-16
359.309997558594,359.609985351562,352.119995117188,356.850006103516,2985700,356.850006103516,2023-02-17
350.779998779297,353.25,345.690002441406,346.700012207031,3002700,346.700012207031,2023-02-21
346.690002441406,353.170013427734,344.450012207031,348.720001220703,2599300,348.720001220703,2023-02-22
350.440002441406,353.799987792969,343.929992675781,347.019989013672,3154500,347.019989013672,2023-02-23
328.119995117188,329.760009765625,318.600006103516,320.540008544922,8444500,320.540008544922,2023-02-24
322.019989013672,325.100006103516,320.700012207031,322.320007324219,3500600,322.320007324219,2023-02-27
323.369995117188,325.730010986328,320.970001220703,323.950012207031,2714200,323.950012207031,2023-02-28
323.799987792969,325.260009765625,321,323.380004882812,2377700,323.380004882812,2023-03-01
323.380004882812,334.459991455078,321.559997558594,333.5,3845800,333.5,2023-03-02
334.690002441406,344.760009765625,334.480010986328,344.040008544922,3725500,344.040008544922,2023-03-03
344.329986572266,351.779998779297,344.279998779297,347.019989013672,3060300,347.019989013672,2023-03-06
347.859985351562,352.170013427734,344.059997558594,344.799987792969,2252800,344.799987792969,2023-03-07
346.739990234375,348.690002441406,343.470001220703,345.839996337891,2518900,345.839996337891,2023-03-08
344.720001220703,350.130004882812,336.989990234375,338.369995117188,3798300,338.369995117188,2023-03-09
338.339996337891,338.519989013672,328.450012207031,329.299987792969,4148200,329.299987792969,2023-03-10
329.420013427734,333,323.290008544922,324.269989013672,4203500,324.269989013672,2023-03-13
332.209991455078,335.170013427734,328.700012207031,333.329986572266,3850900,333.329986572266,2023-03-14
330,334.279998779297,328.170013427734,333.609985351562,4627100,333.609985351562,2023-03-15
344.570007324219,355.489990234375,340.529998779297,353.290008544922,6946600,353.290008544922,2023-03-16
354.779998779297,360.630004882812,350.839996337891,358.140014648438,6725400,358.140014648438,2023-03-17
357.609985351562,364.940002441406,355.350006103516,362.880004882812,3946800,362.880004882812,2023-03-20
364.630004882812,376.399993896484,362.920013427734,374.220001220703,4479200,374.220001220703,2023-03-21
375,377.329986572266,361.519989013672,361.709991455078,3878400,361.709991455078,2023-03-22
368.989990234375,375.25,365.489990234375,369,3138600,369,2023-03-23
370.230010986328,375.230010986328,367.720001220703,374.959991455078,2993400,374.959991455078,2023-03-24
376.510009765625,380.350006103516,369.679992675781,373.149993896484,2832200,373.149993896484,2023-03-27
373.420013427734,374,367.820007324219,373.399993896484,1780800,373.399993896484,2023-03-28
376.679992675781,380.119995117188,375.559997558594,379.160003662109,2497600,379.160003662109,2023-03-29
381.649993896484,382.579986572266,378.079986572266,381.899993896484,2139000,381.899993896484,2023-03-30
382.290008544922,385.730010986328,380.260009765625,385.369995117188,3063400,385.369995117188,2023-03-31
380.880004882812,383.730010986328,378.149993896484,380.079986572266,2712600,380.079986572266,2023-04-03
382.239990234375,385.700012207031,381.049987792969,385.149993896484,2569800,385.149993896484,2023-04-04
384.089996337891,386,377.260009765625,382.019989013672,2277200,382.019989013672,2023-04-05
379.309997558594,382.459991455078,375.989990234375,380.600006103516,1835900,380.600006103516,2023-04-06
375.480010986328,376.670013427734,372.260009765625,376.25,1689700,376.25,2023-04-10
374.010009765625,375.899993896484,368.350006103516,371.109985351562,2161100,371.109985351562,2023-04-11
376.420013427734,378.230010986328,368.75,369.890014648438,1978200,369.890014648438,2023-04-12
373.200012207031,379.019989013672,372.730010986328,378.799987792969,2434800,378.799987792969,2023-04-13
376.369995117188,380.570007324219,375.140014648438,379.380004882812,1525500,379.380004882812,2023-04-14
379.609985351562,380.760009765625,374.619995117188,377.920013427734,1614300,377.920013427734,2023-04-17
380.899993896484,380.899993896484,374.489990234375,377.549987792969,1586700,377.549987792969,2023-04-18
377.899993896484,382.839996337891,375.600006103516,380.109985351562,1775200,380.109985351562,2023-04-19
376.040008544922,383,375.670013427734,380.260009765625,1947900,380.260009765625,2023-04-20
379.970001220703,380.440002441406,375.440002441406,377.670013427734,1841600,377.670013427734,2023-04-21
376.589996337891,378.950012207031,373.570007324219,377.339996337891,1531100,377.339996337891,2023-04-24
373.630004882812,375.230010986328,368.880004882812,369.589996337891,2413100,369.589996337891,2023-04-25
368.600006103516,369.450012207031,357.25,363.059997558594,2803200,363.059997558594,2023-04-26
365.940002441406,373.820007324219,363.5,371.420013427734,2338800,371.420013427734,2023-04-27
371.420013427734,377.690002441406,368.559997558594,377.559997558594,2061700,377.559997558594,2023-04-28
376.510009765625,378.720001220703,373.709991455078,374.149993896484,1868000,374.149993896484,2023-05-01
374.359985351562,375.850006103516,367.839996337891,368.660003662109,2287600,368.660003662109,2023-05-02
363.489990234375,365.959991455078,344.239990234375,345.25,6700800,345.25,2023-05-03
347.970001220703,348,332.839996337891,335.829986572266,6614900,335.829986572266,2023-05-04
338.980010986328,349.549987792969,338.029998779297,348.399993896484,4260900,348.399993896484,2023-05-05
348,350.480010986328,340.760009765625,344.059997558594,3135900,344.059997558594,2023-05-08
342.5,345,341.230010986328,342.649993896484,1879400,342.649993896484,2023-05-09
348.25,352,341.829986572266,344.019989013672,3386300,344.019989013672,2023-05-10
341.880004882812,344.660003662109,339.369995117188,341.579986572266,2183400,341.579986572266,2023-05-11
340.510009765625,340.790008544922,331.890014648438,335.450012207031,4278700,335.450012207031,2023-05-12
337.350006103516,345.890014648438,333.010009765625,345.670013427734,3330500,345.670013427734,2023-05-15
344.200012207031,347.070007324219,341.170013427734,345.109985351562,2558300,345.109985351562,2023-05-16
345.359985351562,358.690002441406,345.119995117188,356.630004882812,3560600,356.630004882812,2023-05-17
357,361.480010986328,356.450012207031,360.429992675781,2896400,360.429992675781,2023-05-18
363,372.079986572266,361.359985351562,371.25,3856900,371.25,2023-05-19
371.25,374.399993896484,369.660003662109,372.049987792969,2627100,372.049987792969,2023-05-22
371.809997558594,376.489990234375,369.920013427734,370.420013427734,2967700,370.420013427734,2023-05-23
368.410003662109,369.059997558594,361.720001220703,365.760009765625,2666600,365.760009765625,2023-05-24
375.489990234375,397.649993896484,374.089996337891,392.059997558594,7030000,392.059997558594,2023-05-25
396.720001220703,416.359985351562,396.570007324219,415.390014648438,7833600,415.390014648438,2023-05-26
429.940002441406,432.989990234375,416.079986572266,417.209991455078,5332300,417.209991455078,2023-05-30
413.899993896484,421.359985351562,410.700012207031,417.790008544922,5158500,417.790008544922,2023-05-31
412.290008544922,430.600006103516,412.290008544922,426.75,4443100,426.75,2023-06-01
432,438.529998779297,430.359985351562,436.369995117188,4334800,436.369995117188,2023-06-02
433.010009765625,440.380004882812,426.959991455078,434.179992675781,3447400,434.179992675781,2023-06-05
432.549987792969,437.119995117188,431.239990234375,432.890014648438,2342000,432.890014648438,2023-06-06
434.559997558594,436.809997558594,417.739990234375,418.320007324219,4773000,418.320007324219,2023-06-07
