"MELI.Open","MELI.High","MELI.Low","MELI.Close","MELI.Volume","MELI.Adjusted","Date"
1000.58001708984,1023.47998046875,986.900024414062,1007.23999023438,408300,1007.23999023438,2020-07-07
1020.75,1020.97998046875,1001.44000244141,1015,386000,1015,2020-07-08
1026.26000976562,1026.26000976562,991.820007324219,1017.45001220703,455500,1017.45001220703,2020-07-09
1020,1035.84997558594,1001.60998535156,1035.82995605469,292500,1035.82995605469,2020-07-10
1058.01000976562,1125,979.820007324219,981.969970703125,539000,981.969970703125,2020-07-13
972.140014648438,1000,950.409973144531,972.630004882812,659600,972.630004882812,2020-07-14
978.280029296875,987.179992675781,956.809997558594,971.630004882812,528500,971.630004882812,2020-07-15
959.659973144531,965.719970703125,945.789978027344,956.619995117188,329500,956.619995117188,2020-07-16
964.619995117188,972.950012207031,941.440002441406,964.719970703125,302800,964.719970703125,2020-07-17
980.340026855469,1029.93005371094,975,1024.81005859375,458700,1024.81005859375,2020-07-20
1059.98999023438,1059.98999023438,1013.39001464844,1018.90002441406,405100,1018.90002441406,2020-07-21
1029.15002441406,1046.80004882812,1003.83001708984,1019.39001464844,341800,1019.39001464844,2020-07-22
1018.45001220703,1034.21997070312,976.820007324219,982.299987792969,379600,982.299987792969,2020-07-23
968.030029296875,1002.46997070312,952.219970703125,988.989990234375,449400,988.989990234375,2020-07-24
1004.47998046875,1081.73999023438,996,1070.43994140625,563000,1070.43994140625,2020-07-27
1063,1066.32995605469,1039.56005859375,1039.56005859375,298000,1039.56005859375,2020-07-28
1060.68005371094,1095.34997558594,1053.75,1086.91003417969,475500,1086.91003417969,2020-07-29
1085.55004882812,1131.89001464844,1074.08996582031,1107.5,781800,1107.5,2020-07-30
1147.10998535156,1150.81994628906,1085.15002441406,1124.61999511719,726400,1124.61999511719,2020-07-31
1124.98999023438,1181.98999023438,1124.98999023438,1172.61999511719,521100,1172.61999511719,2020-08-03
1170.71997070312,1175,1151.11999511719,1173.93005371094,396400,1173.93005371094,2020-08-04
1186.71997070312,1234.27001953125,1181.60998535156,1225.44995117188,619400,1225.44995117188,2020-08-05
1235.33996582031,1248.21997070312,1200.15002441406,1219.9599609375,423900,1219.9599609375,2020-08-06
1218,1235,1162.31994628906,1193.96997070312,878200,1193.96997070312,2020-08-07
1267,1270,1090,1124.31005859375,1101600,1124.31005859375,2020-08-10
1137.98999023438,1146,1097.71997070312,1100.01000976562,670200,1100.01000976562,2020-08-11
1117.42004394531,1138.96997070312,1101.21997070312,1111.64001464844,566800,1111.64001464844,2020-08-12
1122.51000976562,1161.81994628906,1121,1157.05004882812,839000,1157.05004882812,2020-08-13
1171.65002441406,1172.48999023438,1145,1156.43994140625,351100,1156.43994140625,2020-08-14
1171.76000976562,1197.58996582031,1165.01000976562,1189.86999511719,429000,1189.86999511719,2020-08-17
1191,1221.31994628906,1180,1208.64001464844,443200,1208.64001464844,2020-08-18
1213.78002929688,1229.71997070312,1198,1212.44995117188,411600,1212.44995117188,2020-08-19
