"CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted","Date"
627.309997558594,640,627.309997558594,635.109985351562,1386800,635.109985351562,2020-10-01
626.539978027344,633.169982910156,617.289978027344,620.22998046875,1046500,620.22998046875,2020-10-02
623.349975585938,639.27001953125,621.630004882812,633.97998046875,807900,633.97998046875,2020-10-05
632.359985351562,638.059997558594,619.099975585938,620.890014648438,1104600,620.890014648438,2020-10-06
623.22998046875,629.72998046875,622.989990234375,623.72998046875,802700,623.72998046875,2020-10-07
626.809997558594,633.690002441406,622.239990234375,629.080017089844,583800,629.080017089844,2020-10-08
631.880004882812,639.340026855469,631.640014648438,635.640014648438,625900,635.640014648438,2020-10-09
643.570007324219,663.700012207031,639.239990234375,651.719970703125,1307400,651.719970703125,2020-10-12
653.609985351562,656.890014648438,646.489990234375,649.950012207031,963900,649.950012207031,2020-10-13
651.669982910156,653.640014648438,638.010009765625,638.619995117188,840700,638.619995117188,2020-10-14
631.869995117188,640.299987792969,630.5,636.890014648438,825900,636.890014648438,2020-10-15
638.869995117188,646.989990234375,633.52001953125,633.919982910156,772800,633.919982910156,2020-10-16
635.669982910156,640,616.700012207031,617.659973144531,1080600,617.659973144531,2020-10-19
622.739990234375,622.739990234375,606.619995117188,608.260009765625,1066100,608.260009765625,2020-10-20
604.309997558594,612.330017089844,601.510009765625,605.330017089844,727100,605.330017089844,2020-10-21
605.030029296875,605.030029296875,596.429992675781,599.909973144531,1001800,599.909973144531,2020-10-22
603.070007324219,603.070007324219,588.409973144531,593.280029296875,842200,593.280029296875,2020-10-23
588.789978027344,595.830017089844,581.419982910156,582.130004882812,1119600,582.130004882812,2020-10-26
585,590.299987792969,580.5,583.650024414062,897300,583.650024414062,2020-10-27
574.969970703125,585.409973144531,572.460021972656,572.580017089844,983100,572.580017089844,2020-10-28
573.330017089844,583.049987792969,573.099975585938,576,1420400,576,2020-10-29
580.549987792969,610.659973144531,580.549987792969,603.820007324219,2456100,603.820007324219,2020-10-30
605.099975585938,610.359985351562,578.760009765625,588.429992675781,1268200,588.429992675781,2020-11-02
596,602.590026855469,591.72998046875,591.989990234375,1172900,591.989990234375,2020-11-03
610.900024414062,645.700012207031,608.27001953125,634.469970703125,1940400,634.469970703125,2020-11-04
643.049987792969,650.429992675781,638.109985351562,647.359985351562,1007600,647.359985351562,2020-11-05
647.679992675781,649.919982910156,640.450012207031,644.489990234375,693000,644.489990234375,2020-11-06
659.789978027344,659.789978027344,612.679992675781,613.200012207031,1632700,613.200012207031,2020-11-09
603.450012207031,631.640014648438,603.450012207031,626.880004882812,1054700,626.880004882812,2020-11-10
628.799987792969,640.52001953125,628.799987792969,636.919982910156,709300,636.919982910156,2020-11-11
639.330017089844,645.059997558594,635.400024414062,637.960021972656,650000,637.960021972656,2020-11-12
638.22998046875,648.820007324219,638.109985351562,647.190002441406,757500,647.190002441406,2020-11-13
642.840026855469,647.510009765625,639.950012207031,641.409973144531,1066300,641.409973144531,2020-11-16
637.320007324219,643.570007324219,632.530029296875,641.510009765625,621500,641.510009765625,2020-11-17
645.140014648438,651.169982910156,635.52001953125,642.440002441406,1655400,642.440002441406,2020-11-18
639.859985351562,655.72998046875,636.690002441406,650.539978027344,1288500,650.539978027344,2020-11-19
651.309997558594,663.070007324219,647.5,655.409973144531,1163700,655.409973144531,2020-11-20
657.869995117188,659.559997558594,642.700012207031,645.039978027344,1518500,645.039978027344,2020-11-23
641.700012207031,654.789978027344,633.659973144531,650.440002441406,1074600,650.440002441406,2020-11-24
652.260009765625,653.510009765625,644.869995117188,651.400024414062,681100,651.400024414062,2020-11-25
647.590026855469,650.880004882812,642.049987792969,642.799987792969,569400,642.799987792969,2020-11-27
646.219970703125,655.340026855469,643.039978027344,651.989990234375,1178700,651.989990234375,2020-11-30
656.700012207031,666.590026855469,652.799987792969,662.25,1177100,662.25,2020-12-01
659.789978027344,669.900024414062,659.140014648438,667.169982910156,820600,667.169982910156,2020-12-02
666.659973144531,675.739990234375,656.559997558594,670.429992675781,822200,670.429992675781,2020-12-03
670.580017089844,674.049987792969,667.080017089844,670.739990234375,685900,670.739990234375,2020-12-04
667.359985351562,680.760009765625,666.97998046875,680.760009765625,881000,680.760009765625,2020-12-07
676.47998046875,681.710021972656,661.809997558594,663.369995117188,1020900,663.369995117188,2020-12-08
660.450012207031,665.960021972656,643.530029296875,644.080017089844,1813100,644.080017089844,2020-12-09
644.559997558594,659.580017089844,642.789978027344,658.039978027344,880100,658.039978027344,2020-12-10
654.059997558594,655.97998046875,648.02001953125,651.760009765625,989000,651.760009765625,2020-12-11
654.77001953125,656.239990234375,649.109985351562,649.669982910156,1284600,649.669982910156,2020-12-14
653.080017089844,656.5,646.070007324219,646.280029296875,1034600,646.280029296875,2020-12-15
646.280029296875,649.640014648438,634.469970703125,642.429992675781,1283900,642.429992675781,2020-12-16
645.109985351562,657.570007324219,644.950012207031,653.97998046875,1904700,653.97998046875,2020-12-17
656.940002441406,658.349975585938,646.52001953125,652,2253900,652,2020-12-18
645.260009765625,658.380004882812,641.789978027344,654.690002441406,893200,654.690002441406,2020-12-21
654.02001953125,654.789978027344,638.760009765625,641.099975585938,1269800,641.099975585938,2020-12-22
642.869995117188,652.580017089844,640.030029296875,647.440002441406,1590800,647.440002441406,2020-12-23
646.599975585938,657.330017089844,646.599975585938,656.489990234375,1127300,656.489990234375,2020-12-24
661.380004882812,661.380004882812,649.440002441406,651.900024414062,774800,651.900024414062,2020-12-28
654.299987792969,666.369995117188,651.25,664.97998046875,1301000,664.97998046875,2020-12-29
667.010009765625,668,652.289978027344,653.489990234375,865400,653.489990234375,2020-12-30
653.440002441406,664.780029296875,652.859985351562,661.549987792969,699500,661.549987792969,2020-12-31
666.590026855469,666.590026855469,637,647.030029296875,1185200,647.030029296875,2021-01-04
646.130004882812,649,632.950012207031,636.590026855469,842600,636.590026855469,2021-01-05
612.159973144531,634.809997558594,612.159973144531,624.510009765625,1491400,624.510009765625,2021-01-06
627.72998046875,638.25,622,629.77001953125,1259500,629.77001953125,2021-01-07
624.390014648438,634.789978027344,624.390014648438,634.380004882812,1051100,634.380004882812,2021-01-08
636.900024414062,642.75,632.969970703125,641.130004882812,1082800,641.130004882812,2021-01-11
636.119995117188,639.77001953125,618.489990234375,621.489990234375,1695600,621.489990234375,2021-01-12
619.070007324219,623.039978027344,614.869995117188,618.010009765625,1090300,618.010009765625,2021-01-13
616.47998046875,630.409973144531,610.890014648438,623.090026855469,1484500,623.090026855469,2021-01-14
620.25,634.080017089844,617.02001953125,628.909973144531,1150400,628.909973144531,2021-01-15
628.109985351562,633.950012207031,623.369995117188,633.27001953125,1052000,633.27001953125,2021-01-19
633.390014648438,648.309997558594,631.960021972656,642.820007324219,943400,642.820007324219,2021-01-20
643.330017089844,651.890014648438,639.789978027344,650.429992675781,768700,650.429992675781,2021-01-21
649.450012207031,651.890014648438,642.77001953125,646.690002441406,699100,646.690002441406,2021-01-22
649.640014648438,660.299987792969,647.840026855469,652.169982910156,888400,652.169982910156,2021-01-25
651.630004882812,654.760009765625,647.02001953125,649.539978027344,893500,649.539978027344,2021-01-26
643.929992675781,651.919982910156,615.109985351562,615.780029296875,1919500,615.780029296875,2021-01-27
638.099975585938,671,635.080017089844,654.650024414062,1773900,654.650024414062,2021-01-28
626.010009765625,636.030029296875,604.090026855469,607.559997558594,2393600,607.559997558594,2021-01-29
611.010009765625,614.130004882812,593.099975585938,599.02001953125,1465600,599.02001953125,2021-02-01
597.690002441406,625.309997558594,595.909973144531,616.700012207031,1531200,616.700012207031,2021-02-02
616.650024414062,617.030029296875,603.320007324219,609.260009765625,929800,609.260009765625,2021-02-03
604.97998046875,621.289978027344,604.97998046875,619.789978027344,840700,619.789978027344,2021-02-04
621.030029296875,628.299987792969,615.119995117188,617.650024414062,799800,617.650024414062,2021-02-05
616.630004882812,619.690002441406,610.869995117188,615.530029296875,957800,615.530029296875,2021-02-08
616.340026855469,626.630004882812,613.799987792969,619.510009765625,836400,619.510009765625,2021-02-09
623.359985351562,623.359985351562,608.109985351562,611.630004882812,1036500,611.630004882812,2021-02-10
614.200012207031,619.159973144531,603.530029296875,618.679992675781,829200,618.679992675781,2021-02-11
615.929992675781,619.549987792969,610.650024414062,613.450012207031,623900,613.450012207031,2021-02-12
609.190002441406,619.02001953125,606.25,618.469970703125,909500,618.469970703125,2021-02-16
615.700012207031,626.950012207031,614.440002441406,624.119995117188,929700,624.119995117188,2021-02-17
625.059997558594,625.059997558594,612.710021972656,616.419982910156,760900,616.419982910156,2021-02-18
613.429992675781,619.530029296875,606.539978027344,607.289978027344,1193100,607.289978027344,2021-02-19
602.299987792969,609.880004882812,595,596.5,1744400,596.5,2021-02-22
602.799987792969,609.27001953125,585.450012207031,602.77001953125,1852100,602.77001953125,2021-02-23
590.440002441406,614.72998046875,590.440002441406,608.510009765625,1201100,608.510009765625,2021-02-24
