"BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted","Date"
1442.75,1460.30004882812,1415.31005859375,1448.7900390625,458500,1428.19299316406,2020-05-01
1415.72998046875,1445.31994628906,1388.51000976562,1413.30004882812,471400,1393.20764160156,2020-05-04
1443.25,1446.35998535156,1383.85998535156,1393.19995117188,425900,1373.39331054688,2020-05-05
1397.4599609375,1416.35998535156,1356,1378.91003417969,526600,1359.30639648438,2020-05-06
1392.26000976562,1448.58996582031,1382,1443.91003417969,654800,1423.38244628906,2020-05-07
1440.98999023438,1444.25,1366.09997558594,1430.82995605469,877400,1410.48828125,2020-05-08
1427.02001953125,1428.96997070312,1403.11999511719,1411,564700,1390.94018554688,2020-05-11
1401.08996582031,1413.97998046875,1385.10998535156,1385.92004394531,506900,1366.216796875,2020-05-12
1379.33996582031,1388.92004394531,1336.31994628906,1366.06994628906,780900,1346.64880371094,2020-05-13
1348.73999023438,1388.93994140625,1303.25,1382.51000976562,708700,1362.85534667969,2020-05-14
1377.01000976562,1409.48999023438,1372.13000488281,1384.31005859375,632600,1364.62976074219,2020-05-15
1430,1581.56005859375,1430,1557.43005371094,1322000,1535.28845214844,2020-05-18
1556.2900390625,1598.82995605469,1544.16003417969,1547.56005859375,828400,1525.55883789062,2020-05-19
1578.52001953125,1605.73999023438,1578.19995117188,1599.15002441406,7e+05,1576.41540527344,2020-05-20
1605,1623.43994140625,1575.7900390625,1595.68005371094,631900,1572.99475097656,2020-05-21
1591.73999023438,1637.2900390625,1584.65002441406,1631.30004882812,574600,1608.1083984375,2020-05-22
1704.31994628906,1764.90002441406,1692.10998535156,1746.91003417969,1201000,1722.07458496094,2020-05-26
1775.93005371094,1788,1692.60998535156,1698.72998046875,1017900,1674.57958984375,2020-05-27
1695.58996582031,1708,1644.02001953125,1648.98999023438,664100,1625.54663085938,2020-05-28
1657,1657,1618.43005371094,1639.42004394531,688800,1616.11291503906,2020-05-29
1633.11999511719,1684.17004394531,1633.11999511719,1670.72998046875,490100,1646.97766113281,2020-06-01
1690,1692.05004882812,1653.57995605469,1655,513600,1631.47131347656,2020-06-02
1704.03002929688,1743.83996582031,1694.2900390625,1725.96997070312,597500,1701.43237304688,2020-06-03
1714.90002441406,1749.18005371094,1706,1742.64001464844,502400,1717.865234375,2020-06-04
1826.76000976562,1853.38000488281,1802.84997558594,1812.64001464844,1034400,1786.87036132812,2020-06-05
1846.59997558594,1871.96997070312,1825.56994628906,1840.91003417969,672000,1814.73828125,2020-06-08
1808.06994628906,1818.33996582031,1770,1777.96997070312,450400,1752.69299316406,2020-06-09
1791.94995117188,1793,1717.71997070312,1733.31005859375,536400,1708.66796875,2020-06-10
1655.84997558594,1656.76000976562,1576.56994628906,1588.36999511719,920100,1565.78845214844,2020-06-11
1653.56994628906,1663.98999023438,1572.83996582031,1623.92004394531,489400,1600.83312988281,2020-06-12
1567.66003417969,1664.93005371094,1555.01000976562,1650.67004394531,409800,1627.20300292969,2020-06-15
1716.31994628906,1721.84997558594,1641.75,1673.73999023438,454600,1649.94494628906,2020-06-16
1677.92004394531,1678.57995605469,1626.01000976562,1638.23999023438,355000,1614.94958496094,2020-06-17
1622.40002441406,1658,1590.93005371094,1628.34997558594,546600,1605.20031738281,2020-06-18
1654,1657.48999023438,1600,1626.91003417969,754200,1603.78076171875,2020-06-19
1609.73999023438,1636.2900390625,1593.86999511719,1633.52001953125,333900,1610.29675292969,2020-06-22
1652.30004882812,1678.5,1640,1677.09997558594,363300,1653.25708007812,2020-06-23
1660.7099609375,1669.77001953125,1582,1610.32995605469,597300,1587.43640136719,2020-06-24
1585.81005859375,1623.96997070312,1561.71997070312,1615.39001464844,498600,1592.42443847656,2020-06-25
1597.30004882812,1611.7099609375,1532.82995605469,1541.25,601700,1519.33862304688,2020-06-26
1567.77001953125,1595.30004882812,1540.47998046875,1593.21997070312,365800,1570.56958007812,2020-06-29
1583.90002441406,1603.23999023438,1566.42004394531,1592.33996582031,293600,1569.70202636719,2020-06-30
1606.05004882812,1670,1601.14001464844,1658.7900390625,538800,1635.20751953125,2020-07-01
1690.10998535156,1714.08996582031,1658.40002441406,1669.97998046875,360800,1646.23840332031,2020-07-02
1706.18994140625,1738,1680.17004394531,1703.76000976562,440800,1679.53820800781,2020-07-06
1681.35998535156,1697.32995605469,1654.66003417969,1657.44995117188,267100,1633.88659667969,2020-07-07
1662,1665.9599609375,1633.25,1661.30004882812,332500,1637.68188476562,2020-07-08
1671.90002441406,1679.69995117188,1627.47998046875,1670.28002929688,406600,1646.53430175781,2020-07-09
1660.68005371094,1708.80004882812,1652.97998046875,1707.40002441406,323400,1683.12634277344,2020-07-10
1720.89001464844,1739.57995605469,1685.01000976562,1686.76000976562,400600,1662.77978515625,2020-07-13
1668.68994140625,1703.56005859375,1652.68994140625,1696.22998046875,261100,1672.115234375,2020-07-14
1747,1802.72998046875,1745.0400390625,1799.33996582031,646800,1773.75927734375,2020-07-15
1767.2099609375,1773.5,1730.67004394531,1746.7900390625,251700,1721.95629882812,2020-07-16
1757.11999511719,1757.11999511719,1719.0400390625,1732.18994140625,368700,1707.56396484375,2020-07-17
1724.01000976562,1748,1700.42004394531,1713.65002441406,308300,1689.28747558594,2020-07-20
1735.91003417969,1762.67004394531,1703.60998535156,1711.7099609375,382600,1687.37512207031,2020-07-21
1717.9599609375,1728.31994628906,1681.25,1720.5400390625,367500,1696.07958984375,2020-07-22
1721.28002929688,1729.32995605469,1692.15002441406,1695.4599609375,263800,1671.35607910156,2020-07-23
1678.27001953125,1709.23999023438,1671.96997070312,1701.30004882812,324900,1677.11315917969,2020-07-24
1690.64001464844,1711.88000488281,1671.01000976562,1702.82995605469,223900,1678.62121582031,2020-07-27
1696.33996582031,1702.83996582031,1677.2900390625,1681.75,210600,1657.84106445312,2020-07-28
1688.85998535156,1724.40002441406,1676.94995117188,1707.5400390625,311300,1683.26440429688,2020-07-29
1683.80004882812,1699.2099609375,1657.16003417969,1687.73999023438,205400,1663.74584960938,2020-07-30
1687.86999511719,1692.25,1625.60998535156,1662.13000488281,305200,1638.49987792969,2020-07-31
1665.91003417969,1669.89001464844,1634.68994140625,1650.23999023438,201300,1626.77905273438,2020-08-03
1641,1680,1635.34997558594,1675.13000488281,240200,1651.31506347656,2020-08-04
1700.13000488281,1734.43005371094,1683.39001464844,1724.77001953125,314400,1700.24951171875,2020-08-05
1702,1765.97998046875,1700.72998046875,1751.7900390625,451100,1726.88537597656,2020-08-06
1813.40002441406,1821.44995117188,1742,1754.47998046875,566000,1729.537109375,2020-08-07
1760,1785.89001464844,1731.05004882812,1768.57995605469,357100,1743.43640136719,2020-08-10
1818.27001953125,1847.42004394531,1800.01000976562,1805.09997558594,476000,1779.43725585938,2020-08-11
1816.30004882812,1828,1805.5,1808.06994628906,274200,1782.36511230469,2020-08-12
1799.06005859375,1823.97998046875,1789,1792.96997070312,220200,1767.47985839844,2020-08-13
1780,1787.21997070312,1768.27001953125,1778.86999511719,262500,1753.58044433594,2020-08-14
1792.39001464844,1792.39001464844,1750,1752.92004394531,244500,1727.99926757812,2020-08-17
1750,1792,1744.13000488281,1778.91003417969,238900,1753.61975097656,2020-08-18
1783.01000976562,1807.08996582031,1760.31994628906,1767.46997070312,311600,1742.34216308594,2020-08-19
1751.90002441406,1774.94995117188,1746.01000976562,1768.68994140625,245900,1743.54504394531,2020-08-20
1763,1785.05004882812,1754.67004394531,1779.36999511719,270400,1754.0732421875,2020-08-21
1803.56005859375,1837.71997070312,1796.93994140625,1834.43994140625,362400,1808.36022949219,2020-08-24
1836.02001953125,1858.2900390625,1816.41003417969,1853.80004882812,313200,1827.44519042969,2020-08-25
1838.80004882812,1883.96997070312,1835.01000976562,1866.96997070312,394400,1840.427734375,2020-08-26
1892.57995605469,1924.85998535156,1874.27001953125,1893.5,398900,1866.58056640625,2020-08-27
1896.15002441406,1955.60998535156,1895.22998046875,1945.25,320800,1917.59497070312,2020-08-28
1922.46997070312,1936.5,1908.13000488281,1910.44995117188,321200,1883.28955078125,2020-08-31
1905.13000488281,1937,1899.72998046875,1928.85998535156,315900,1901.43786621094,2020-09-01
1940,1955.40002441406,1895.65002441406,1948.72998046875,335300,1921.025390625,2020-09-02
1952.15002441406,1966.21997070312,1909.89001464844,1945.44995117188,428100,1917.7919921875,2020-09-03
1947.96997070312,1962.59997558594,1906.07995605469,1917.73999023438,379300,1890.47595214844,2020-09-04
1886.85998535156,1930.07995605469,1882.93994140625,1891.59997558594,346900,1864.70764160156,2020-09-08
1887.55004882812,1910.07995605469,1823.40002441406,1871.06994628906,460900,1844.46948242188,2020-09-09
1871,1901.90002441406,1811.73999023438,1816.58996582031,341800,1790.76391601562,2020-09-10
1813.52001953125,1835.02001953125,1769.97998046875,1783.73999023438,382800,1758.38110351562,2020-09-11
1803,1805.44995117188,1774.59997558594,1784.58996582031,377000,1759.21887207031,2020-09-14
1797.41003417969,1817.73999023438,1785,1787,268000,1761.5947265625,2020-09-15
1800,1837.82995605469,1787.90002441406,1806.66003417969,382300,1780.97546386719,2020-09-16
1783.18994140625,1805.83996582031,1756.48999023438,1787.2099609375,480600,1761.8017578125,2020-09-17
1791.16003417969,1794.52001953125,1720,1732.28002929688,629300,1707.65246582031,2020-09-18
1676.19995117188,1688.08996582031,1632.17004394531,1652.39001464844,656100,1628.8984375,2020-09-21
1659.21997070312,1679.33996582031,1625,1674,434000,1650.201171875,2020-09-22
1692.09997558594,1693.08996582031,1633.73999023438,1638.46997070312,288900,1615.17626953125,2020-09-23
1617.28002929688,1680.34997558594,1601.01000976562,1650.56994628906,394100,1627.10424804688,2020-09-24
1635,1660.73999023438,1612,1657.77001953125,302600,1634.20190429688,2020-09-25
1694.98999023438,1729.25,1671.25,1700.40002441406,296300,1676.22570800781,2020-09-28
1700.15002441406,1712.27001953125,1670.41003417969,1672.97998046875,228400,1649.19555664062,2020-09-29
1682.64001464844,1729.7900390625,1679,1710.68005371094,326100,1686.35974121094,2020-09-30
1735.5400390625,1750,1730,1742.97998046875,339500,1718.20043945312,2020-10-01
1698.98999023438,1720,1684.03002929688,1710.7099609375,269900,1686.38928222656,2020-10-02
1705.28002929688,1720.46997070312,1662.46997070312,1706.7900390625,317000,1682.52502441406,2020-10-05
1714.08996582031,1759.03002929688,1700.09997558594,1709.7099609375,330400,1685.40344238281,2020-10-06
1724,1761.18005371094,1720,1758.84997558594,215500,1733.8447265625,2020-10-07
1770.06005859375,1794.53002929688,1753,1788.81005859375,262900,1763.37902832031,2020-10-08
1807,1828.81005859375,1786.7099609375,1817.89001464844,264900,1792.04541015625,2020-10-09
1830.82995605469,1866,1826.66003417969,1845,357000,1818.77026367188,2020-10-12
1840,1846.97998046875,1771.86999511719,1780.96997070312,426200,1755.650390625,2020-10-13
1783.38000488281,1791.17004394531,1730.88000488281,1732.59997558594,316800,1707.96801757812,2020-10-14
1700,1711.16003417969,1686.42004394531,1702.10998535156,321600,1677.91149902344,2020-10-15
1704,1712.83996582031,1667.57995605469,1667.86999511719,416200,1644.158203125,2020-10-16
1679.75,1686.46997070312,1652.36999511719,1653.02001953125,317900,1629.51953125,2020-10-19
1673,1688.72998046875,1661.09997558594,1671.7099609375,292600,1647.94384765625,2020-10-20
1660,1704.26000976562,1657.38000488281,1702.03002929688,284500,1677.83276367188,2020-10-21
1714.18994140625,1797.36999511719,1702.38000488281,1792.02001953125,475100,1766.54345703125,2020-10-22
1800.7900390625,1826.16003417969,1788.94995117188,1823.55004882812,316800,1797.625,2020-10-23
1775.13000488281,1793.27001953125,1714.11999511719,1749.2900390625,294900,1724.4208984375,2020-10-26
1738.56005859375,1745,1685.35998535156,1697.7099609375,244900,1673.57409667969,2020-10-27
1663.17004394531,1669.97998046875,1602.55004882812,1605.05004882812,420800,1582.2314453125,2020-10-28
1600,1643.09997558594,1589,1630.26000976562,340900,1607.08312988281,2020-10-29
1620.78002929688,1634.9599609375,1591.09997558594,1622.5,411100,1599.43334960938,2020-10-30
1653.5,1653.5,1598.01000976562,1604.13000488281,342700,1581.32446289062,2020-11-02
1622.7900390625,1682.32995605469,1598.78002929688,1669.57995605469,341100,1645.84399414062,2020-11-03
1702.96997070312,1751.82995605469,1674.80004882812,1713.31994628906,423200,1688.96203613281,2020-11-04
1734.01000976562,1783.17004394531,1734.01000976562,1768.31005859375,388200,1743.17053222656,2020-11-05
1721.0400390625,1796.01000976562,1701.08996582031,1783.75,452300,1758.39099121094,2020-11-06
2049,2128.02001953125,2013.21997070312,2118.23999023438,1649300,2088.12573242188,2020-11-09
2079.59008789062,2103,1989.60998535156,2007.43994140625,738500,1978.90075683594,2020-11-10
1996.94995117188,2008,1955.69995117188,2000.02001953125,441300,1971.58642578125,2020-11-11
1975,1990,1953.15002441406,1962.92004394531,381500,1935.01379394531,2020-11-12
1970,2069.88989257812,1970,2052.8701171875,445500,2023.68505859375,2020-11-13
2117.8701171875,2121.98999023438,2060.78002929688,2109.61010742188,845900,2079.61840820312,2020-11-16
2080,2091.52001953125,2057.9599609375,2081.25,339100,2051.66162109375,2020-11-17
2076,2103.51000976562,2044.02001953125,2044.59997558594,376700,2015.53247070312,2020-11-18
2022.83996582031,2054.97998046875,2000,2010.96997070312,388800,1982.38037109375,2020-11-19
2017.59997558594,2036.52001953125,1987.83996582031,1992.77001953125,307800,1964.43933105469,2020-11-20
2004.86999511719,2042.06005859375,2000,2019.83996582031,336500,1991.12451171875,2020-11-23
2050,2107.03002929688,2026.60998535156,2103.44995117188,445600,2073.54565429688,2020-11-24
2108.73999023438,2118.9599609375,2043.84997558594,2063.80004882812,215900,2034.45983886719,2020-11-25
2067.86010742188,2083.71997070312,2048.28002929688,2052.669921875,117200,2023.48767089844,2020-11-27
2057.669921875,2058,2019.86999511719,2028.44995117188,335500,1999.61206054688,2020-11-30
2047.2099609375,2088.85009765625,2030,2052.669921875,295100,2023.48767089844,2020-12-01
2052.669921875,2097.98999023438,2036.88000488281,2078.419921875,247700,2048.87158203125,2020-12-02
2096.80004882812,2122.03002929688,2065.17993164062,2096.6298828125,337300,2066.82250976562,2020-12-03
2103.69995117188,2138.96997070312,2090,2125.03002929688,339500,2094.81909179688,2020-12-04
2119.96997070312,2137.42993164062,2085,2128.78002929688,321500,2098.51586914062,2020-12-07
2093.06005859375,2128.2099609375,2082.44995117188,2086.64990234375,342300,2056.98461914062,2020-12-08
2100.46997070312,2170.03002929688,2076.81005859375,2107.11010742188,697900,2077.15405273438,2020-12-09
2094.98999023438,2151.580078125,2079.18994140625,2104.8701171875,380200,2074.94580078125,2020-12-10
2090.21997070312,2104.02001953125,2050.1298828125,2089.2099609375,354500,2059.50830078125,2020-12-11
2120.09008789062,2143.06005859375,2065.080078125,2066.01000976562,339200,2036.63818359375,2020-12-14
