"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
240.600006103516,240.600006103516,237,237.199996948242,3870,237.199996948242,2024-08-01
235.100006103516,235.149993896484,230.850006103516,231.399993896484,4865,231.399993896484,2024-08-02
224.649993896484,226.649993896484,223.050003051758,226.149993896484,11023,226.149993896484,2024-08-05
228.399993896484,228.399993896484,225.050003051758,226.800003051758,3585,226.800003051758,2024-08-06
227.949996948242,231.149993896484,227.800003051758,230.5,2597,230.5,2024-08-07
228.899993896484,231.050003051758,227.850006103516,230.699996948242,1664,230.699996948242,2024-08-08
231.399993896484,232.899993896484,230.850006103516,232.199996948242,2459,232.199996948242,2024-08-09
233.050003051758,233.050003051758,231.800003051758,232,3315,232,2024-08-12
233.100006103516,233.149993896484,231.350006103516,233.149993896484,3164,233.149993896484,2024-08-13
234.25,234.5,233.449996948242,234.5,1612,234.5,2024-08-14
238,238.300003051758,237.300003051758,237.850006103516,3733,237.850006103516,2024-08-16
238.050003051758,239.850006103516,237.75,239.600006103516,2211,239.600006103516,2024-08-19
239.899993896484,239.949996948242,238.350006103516,238.350006103516,4045,238.350006103516,2024-08-20
238.600006103516,239.399993896484,238.600006103516,239.149993896484,1124,239.149993896484,2024-08-21
239.699996948242,240.649993896484,239.600006103516,239.949996948242,2147,239.949996948242,2024-08-22
240.199996948242,241.5,240.050003051758,241.300003051758,1224,241.300003051758,2024-08-23
241.25,241.699996948242,240.899993896484,241.25,1356,241.25,2024-08-26
241.350006103516,242,240.949996948242,241.550003051758,1385,241.550003051758,2024-08-27
242.300003051758,242.850006103516,241.800003051758,242.25,3133,242.25,2024-08-28
242.600006103516,244.100006103516,242.399993896484,244.100006103516,4359,244.100006103516,2024-08-29
244.5,245.100006103516,244.199996948242,244.199996948242,4684,244.199996948242,2024-08-30
244.300003051758,244.300003051758,242.949996948242,244.25,1767,244.25,2024-09-02
244.350006103516,244.649993896484,241.75,242,4312,242,2024-09-03
239.199996948242,239.949996948242,239,239.449996948242,3042,239.449996948242,2024-09-04
239.149993896484,239.800003051758,238.149993896484,238.149993896484,8721,238.149993896484,2024-09-05
237.949996948242,239.199996948242,235.550003051758,235.899993896484,12446,235.899993896484,2024-09-06
237.199996948242,238.149993896484,237.050003051758,237.600006103516,2493,237.600006103516,2024-09-09
236.800003051758,238.449996948242,236.050003051758,236.300003051758,2180,236.300003051758,2024-09-10
237.100006103516,238.100006103516,235.600006103516,236.600006103516,2552,236.600006103516,2024-09-11
239.350006103516,239.350006103516,237.949996948242,238.350006103516,3453,238.350006103516,2024-09-12
239.25,240.699996948242,239.25,240.350006103516,2440,240.350006103516,2024-09-13
239.600006103516,240.449996948242,239.399993896484,239.800003051758,8862,239.800003051758,2024-09-16
241.199996948242,241.649993896484,240.75,240.75,3214,240.75,2024-09-17
240.600006103516,240.649993896484,239.300003051758,239.449996948242,3492,239.449996948242,2024-09-18
242.25,243.100006103516,241.25,242.949996948242,4717,242.949996948242,2024-09-19
242.350006103516,242.350006103516,239.199996948242,239.199996948242,8949,239.199996948242,2024-09-20
239.600006103516,240.600006103516,239,240.399993896484,2320,240.399993896484,2024-09-23
242.600006103516,242.600006103516,241.149993896484,241.850006103516,1617,241.850006103516,2024-09-24
241.050003051758,242.25,240.800003051758,241.75,2135,241.75,2024-09-25
243.949996948242,245,243.899993896484,244.800003051758,2518,244.800003051758,2024-09-26
245.350006103516,246.25,244.949996948242,245.949996948242,2349,245.949996948242,2024-09-27
245.25,245.649993896484,243.399993896484,243.600006103516,5118,243.600006103516,2024-09-30
244.300003051758,244.850006103516,242,242.75,8239,242.75,2024-10-01
243.100006103516,243.699996948242,241.75,242.800003051758,5585,242.800003051758,2024-10-02
242.300003051758,242.300003051758,240.149993896484,240.699996948242,5342,240.699996948242,2024-10-03
240.399993896484,242.149993896484,240.399993896484,241.699996948242,7381,241.699996948242,2024-10-04
242.449996948242,242.550003051758,240.75,242.199996948242,5566,242.199996948242,2024-10-07
239.949996948242,241.25,239.649993896484,240.75,4375,240.75,2024-10-08
241,242.5,240.699996948242,242.5,6885,242.5,2024-10-09
242.800003051758,242.800003051758,241.100006103516,241.800003051758,3056,241.800003051758,2024-10-10
241.75,243.25,241.199996948242,243.100006103516,4565,243.100006103516,2024-10-11
243.25,244.5,242.699996948242,244.5,5025,244.5,2024-10-14
245.199996948242,245.25,242.350006103516,242.350006103516,11956,242.350006103516,2024-10-15
241.850006103516,242.5,241.350006103516,242.050003051758,10688,242.050003051758,2024-10-16
242.350006103516,244.75,242.25,244,3103,244,2024-10-17
244.050003051758,244.75,243.75,244.5,4734,244.5,2024-10-18
244.550003051758,245.050003051758,242.75,242.800003051758,4025,242.800003051758,2024-10-21
242.899993896484,242.899993896484,240.850006103516,242.350006103516,7736,242.350006103516,2024-10-22
242.449996948242,242.800003051758,241.350006103516,241.449996948242,2307,241.449996948242,2024-10-23
242.300003051758,243.100006103516,241.75,241.75,2007,241.75,2024-10-24
241.550003051758,242.050003051758,240.850006103516,241.75,4828,241.75,2024-10-25
242.5,243,241,242.800003051758,4763,242.800003051758,2024-10-28
243.399993896484,243.399993896484,241.149993896484,241.149993896484,8254,241.149993896484,2024-10-29
240.199996948242,240.199996948242,237.800003051758,238.100006103516,4388,238.100006103516,2024-10-30
236.850006103516,237,234.5,235.550003051758,4576,235.550003051758,2024-10-31
236.199996948242,238.600006103516,236.050003051758,238.199996948242,12176,238.199996948242,2024-11-01
238.100006103516,238.699996948242,237.100006103516,237.100006103516,1912,237.100006103516,2024-11-04
237.149993896484,237.75,236.350006103516,237.199996948242,2141,237.199996948242,2024-11-05
239.699996948242,241.949996948242,235.600006103516,236.100006103516,7758,236.100006103516,2024-11-06
236.800003051758,238.399993896484,236.600006103516,237.800003051758,5679,237.800003051758,2024-11-07
238,238,235.600006103516,236.100006103516,4158,236.100006103516,2024-11-08
238.300003051758,239.449996948242,238.100006103516,238.949996948242,3547,238.949996948242,2024-11-11
236.850006103516,237,233.899993896484,233.899993896484,3654,233.899993896484,2024-11-12
233.699996948242,234.600006103516,232.399993896484,233.699996948242,8520,233.699996948242,2024-11-13
234.350006103516,236.800003051758,234.199996948242,236.649993896484,14976,236.649993896484,2024-11-14
235.100006103516,236.050003051758,234.649993896484,234.649993896484,3988,234.649993896484,2024-11-15
234.899993896484,235,233.5,235,6460,235,2024-11-18
235.5,235.699996948242,231.5,233.899993896484,4661,233.899993896484,2024-11-19
235.100006103516,235.199996948242,233.25,233.850006103516,3066,233.850006103516,2024-11-20
233.850006103516,234.899993896484,232.449996948242,234.899993896484,5089,234.899993896484,2024-11-21
236.149993896484,237.649993896484,234.699996948242,237.399993896484,4653,237.399993896484,2024-11-22
238.949996948242,238.949996948242,237.149993896484,237.649993896484,19217,237.649993896484,2024-11-25
236.449996948242,237.5,235.699996948242,236.25,5673,236.25,2024-11-26
235.800003051758,236.050003051758,234.75,235.75,16705,235.75,2024-11-27
236.850006103516,237.75,236.300003051758,236.649993896484,9794,236.649993896484,2024-11-28
236.649993896484,238.149993896484,236.149993896484,238.149993896484,23096,238.149993896484,2024-11-29
237.600006103516,240,237.449996948242,239.350006103516,13680,239.350006103516,2024-12-02
240.350006103516,241.399993896484,240.149993896484,240.5,3949,240.5,2024-12-03
241.100006103516,242,240.699996948242,241.449996948242,4474,241.449996948242,2024-12-04
