"C3M.MI.Open","C3M.MI.High","C3M.MI.Low","C3M.MI.Close","C3M.MI.Volume","C3M.MI.Adjusted","Date"
117.169998168945,117.209999084473,117.160003662109,117.199996948242,4556,117.199996948242,2020-05-20
117.169998168945,117.220001220703,117.160003662109,117.190002441406,2929,117.190002441406,2020-05-21
117.160003662109,117.209999084473,117.160003662109,117.160003662109,2426,117.160003662109,2020-05-22
117.169998168945,117.169998168945,117.150001525879,117.150001525879,1337,117.150001525879,2020-05-25
117.199996948242,117.209999084473,117.150001525879,117.180000305176,916,117.180000305176,2020-05-26
117.160003662109,117.160003662109,117.150001525879,117.160003662109,2474,117.160003662109,2020-05-27
117.190002441406,117.209999084473,117.150001525879,117.150001525879,4246,117.150001525879,2020-05-28
117.150001525879,117.199996948242,117.150001525879,117.199996948242,10415,117.199996948242,2020-05-29
117.190002441406,117.199996948242,117.139999389648,117.199996948242,2253,117.199996948242,2020-06-01
117.190002441406,117.190002441406,117.150001525879,117.169998168945,166,117.169998168945,2020-06-02
117.190002441406,117.199996948242,117.139999389648,117.169998168945,15553,117.169998168945,2020-06-03
117.180000305176,117.180000305176,117.13500213623,117.160003662109,44326,117.160003662109,2020-06-04
117.180000305176,117.209999084473,117.110000610352,117.110000610352,15602,117.110000610352,2020-06-05
117.139999389648,117.199996948242,117.129997253418,117.139999389648,2536,117.139999389648,2020-06-08
117.150001525879,117.199996948242,117.139999389648,117.139999389648,1939,117.139999389648,2020-06-09
117.139999389648,117.190002441406,117.129997253418,117.129997253418,13613,117.129997253418,2020-06-10
117.180000305176,117.190002441406,117.129997253418,117.160003662109,4183,117.160003662109,2020-06-11
117.129997253418,117.180000305176,117.120002746582,117.150001525879,2910,117.150001525879,2020-06-12
117.129997253418,117.190002441406,117.129997253418,117.129997253418,5063,117.129997253418,2020-06-15
117.129997253418,117.190002441406,117.120002746582,117.160003662109,19290,117.160003662109,2020-06-16
117.139999389648,117.190002441406,117.129997253418,117.129997253418,7606,117.129997253418,2020-06-17
117.139999389648,117.190002441406,117.129997253418,117.160003662109,2173,117.160003662109,2020-06-18
117.139999389648,117.190002441406,117.129997253418,117.160003662109,3217,117.160003662109,2020-06-19
117.180000305176,117.190002441406,117.129997253418,117.160003662109,4130,117.160003662109,2020-06-22
117.139999389648,117.190002441406,117.129997253418,117.190002441406,6723,117.190002441406,2020-06-23
117.180000305176,117.190002441406,117.129997253418,117.190002441406,3922,117.190002441406,2020-06-24
