"GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted","Date"
177,177.949996948242,173.490005493164,177,2024400,155.18342590332,2020-04-24
179.100006103516,184.25,178.720001220703,183.539993286133,2743100,160.917358398438,2020-04-27
189.160003662109,190.419998168945,184.869995117188,187.009994506836,3344700,163.95964050293,2020-04-28
192.610000610352,193.720001220703,189.570007324219,190.029998779297,3086300,166.607452392578,2020-04-29
186,187.550003051758,182.899993896484,183.419998168945,2695400,160.812133789062,2020-04-30
179,179.600006103516,176.649993896484,177.100006103516,2650200,155.27116394043,2020-05-01
175,176.309997558594,171.720001220703,176.029998779297,2990100,154.333038330078,2020-05-04
179.100006103516,182.600006103516,178.139999389648,178.300003051758,3272600,156.323211669922,2020-05-05
179.679992675781,181.199996948242,175.210006713867,176.919998168945,2408700,155.113327026367,2020-05-06
179.179992675781,183.380004882812,179.179992675781,182.320007324219,2480100,159.847717285156,2020-05-07
185.029998779297,185.910003662109,182.740005493164,185.389999389648,2277500,162.539337158203,2020-05-08
182.539993286133,184.850006103516,181.259994506836,183.160003662109,2212200,160.584228515625,2020-05-11
183.889999389648,184.300003051758,176.75,177.210006713867,3549200,155.367599487305,2020-05-12
175.660003662109,176.880004882812,170.759994506836,171.800003051758,3445300,150.624435424805,2020-05-13
169.039993286133,174.779998779297,165.360000610352,174.449996948242,4176700,152.947769165039,2020-05-14
173.479995727539,174.089996337891,170.580001831055,171.869995117188,2867800,150.685760498047,2020-05-15
177.710006713867,183.100006103516,175.240005493164,181.880004882812,4505800,159.462005615234,2020-05-18
180.559997558594,182.190002441406,177.720001220703,177.830001831055,2210500,155.911148071289,2020-05-19
180.949996948242,183.830001831055,180.300003051758,181.440002441406,2599900,159.076202392578,2020-05-20
180.199996948242,181.169998168945,177.679992675781,180.100006103516,2153500,157.901382446289,2020-05-21
180.029998779297,180.639999389648,178.059997558594,179.929992675781,2176400,157.752349853516,2020-05-22
185.630004882812,197.100006103516,185.220001220703,196.059997558594,5971200,171.894165039062,2020-05-26
203,210.710006713867,200.009994506836,209.660003662109,8182100,183.817886352539,2020-05-27
210.839996337891,211.309997558594,201.210006713867,201.220001220703,4886100,176.418167114258,2020-05-28
197.229995727539,200.919998168945,194.649993896484,196.490005493164,3822600,173.348068237305,2020-05-29
197.309997558594,201.770004272461,195.119995117188,199.929992675781,2230800,176.382873535156,2020-06-01
203.770004272461,206.5,201.320007324219,204.139999389648,4128700,180.097076416016,2020-06-02
208.490005493164,211.929992675781,206.429992675781,210.570007324219,3471900,185.769744873047,2020-06-03
208.789993286133,214.990005493164,207.960006713867,214.820007324219,3522300,189.51921081543,2020-06-04
222,222.979995727539,217.660003662109,217.919998168945,4737600,192.254058837891,2020-06-05
220.020004272461,222.259994506836,218.240005493164,220.809997558594,3260300,194.8037109375,2020-06-08
215.740005493164,220.020004272461,215.160003662109,218.100006103516,2478400,192.412902832031,2020-06-09
217.389999389648,219.850006103516,212.800003051758,213.520004272461,3091200,188.372344970703,2020-06-10
204.699996948242,206.899993896484,194.020004272461,194.130004882812,4923400,171.265991210938,2020-06-11
200.619995117188,202.940002441406,196.210006713867,201.779998779297,3380800,178.014984130859,2020-06-12
195.729995727539,206.990005493164,195.149993896484,206.309997558594,3467400,182.011474609375,2020-06-15
214.979995727539,214.979995727539,203.729995727539,209.589996337891,3099100,184.905197143555,2020-06-16
210,210.789993286133,205.440002441406,206.190002441406,1798300,181.905624389648,2020-06-17
203.990005493164,207.259994506836,202.669998168945,203.839996337891,2051700,179.832397460938,2020-06-18
207.050003051758,207.419998168945,200.970001220703,201.630004882812,4962400,177.882675170898,2020-06-19
200.990005493164,204.580001831055,200,203.419998168945,1806900,179.461853027344,2020-06-22
206.5,207.509994506836,203.639999389648,204.779998779297,2451800,180.661651611328,2020-06-23
202.339996337891,202.610000610352,197.380004882812,198.020004272461,2756700,174.697814941406,2020-06-24
197.860000610352,207.389999389648,197.610000610352,207.100006103516,3466500,182.708419799805,2020-06-25
199,200.240005493164,188.509994506836,189.190002441406,9530700,166.907775878906,2020-06-26
191.380004882812,193.899993896484,188.660003662109,193.470001220703,3736000,170.683731079102,2020-06-29
193.839996337891,198.410003662109,193.619995117188,197.619995117188,3102800,174.344955444336,2020-06-30
198.880004882812,199.740005493164,195.520004272461,197.570007324219,2620100,174.300827026367,2020-07-01
202.5,203,197.130004882812,197.399993896484,2699400,174.150817871094,2020-07-02
201.339996337891,207.789993286133,201.130004882812,207.360000610352,3567700,182.937789916992,2020-07-06
205.5,205.710006713867,199.190002441406,199.360000610352,2853500,175.880035400391,2020-07-07
199.539993286133,203.25,199.020004272461,202.25,2789700,178.429656982422,2020-07-08
202.110000610352,202.5,195,196.830001831055,3160100,173.647994995117,2020-07-09
196.869995117188,206.320007324219,196.830001831055,205.559997558594,4414800,181.349807739258,2020-07-10
209,212.979995727539,207,208.880004882812,4449600,184.278793334961,2020-07-13
211.429992675781,214.300003051758,207.009994506836,214.009994506836,5202000,188.804580688477,2020-07-14
224.369995117188,225.240005493164,214.690002441406,216.899993896484,12516700,191.354217529297,2020-07-15
213.509994506836,220.460006713867,213.5,214.669998168945,5769600,189.386825561523,2020-07-16
214.899993896484,215.169998168945,211.25,211.410003662109,3614300,186.510818481445,2020-07-17
210.729995727539,213.169998168945,210.25,211.710006713867,2268700,186.775482177734,2020-07-20
212.25,213.809997558594,210.389999389648,212.020004272461,3393500,187.04899597168,2020-07-21
210.5,211,205.350006103516,206,4978400,181.73796081543,2020-07-22
205.100006103516,206.020004272461,202.050003051758,203.020004272461,4088600,179.108963012695,2020-07-23
203,204.929992675781,201.320007324219,201.470001220703,3191500,177.741500854492,2020-07-24
200.100006103516,204.179992675781,199.589996337891,203.020004272461,2601200,179.108963012695,2020-07-27
201.910003662109,203.600006103516,201.089996337891,201.619995117188,2139600,177.873794555664,2020-07-28
201.699996948242,203.889999389648,199.619995117188,202.580001831055,2635000,178.720794677734,2020-07-29
199.5,199.990005493164,196.300003051758,199.529998779297,3057900,176.030014038086,2020-07-30
199.839996337891,199.839996337891,196.509994506836,197.960006713867,2399700,174.644912719727,2020-07-31
198.490005493164,199.880004882812,196.529998779297,199.389999389648,2294600,175.906555175781,2020-08-03
199.350006103516,201.720001220703,198.479995727539,201.639999389648,1944700,177.891494750977,2020-08-04
203.169998168945,204.809997558594,203.009994506836,204.520004272461,2232400,180.43229675293,2020-08-05
