"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
247,248.690002441406,246.070007324219,246.070007324219,940,246.070007324219,2020-03-31
246.460006713867,247.820007324219,245.990005493164,246.699996948242,801,246.699996948242,2020-04-01
247.399993896484,247.720001220703,244.660003662109,246.729995727539,4828,246.729995727539,2020-04-02
245.949996948242,247.520004272461,245.949996948242,246.300003051758,762,246.300003051758,2020-04-03
246.660003662109,246.929992675781,245.350006103516,246.570007324219,431,246.570007324219,2020-04-06
245.179992675781,246.580001831055,244.960006713867,245.110000610352,1732,245.110000610352,2020-04-07
244.919998168945,245.029998779297,244.039993286133,244.039993286133,1375,244.039993286133,2020-04-08
243.940002441406,246.059997558594,243.580001831055,245.350006103516,1148,245.350006103516,2020-04-09
245.350006103516,245.839996337891,244.229995727539,245.410003662109,3895,245.410003662109,2020-04-14
245.75,245.839996337891,244.139999389648,245.350006103516,559,245.350006103516,2020-04-15
245.839996337891,246.669998168945,245.309997558594,245.649993896484,1070,245.649993896484,2020-04-16
245.440002441406,246.740005493164,245.440002441406,246.740005493164,329,246.740005493164,2020-04-17
246.139999389648,246.139999389648,244.479995727539,245.210006713867,643,245.210006713867,2020-04-20
245.210006713867,245.600006103516,243.550003051758,243.889999389648,1537,243.889999389648,2020-04-21
243.130004882812,244.660003662109,242.259994506836,243.009994506836,601,243.009994506836,2020-04-22
243.309997558594,244.690002441406,242.949996948242,243.970001220703,1505,243.970001220703,2020-04-23
243.830001831055,245.539993286133,243.830001831055,245.330001831055,1315,245.330001831055,2020-04-24
245.779998779297,246.570007324219,245.779998779297,245.940002441406,1111,245.940002441406,2020-04-27
245.889999389648,246.860000610352,245.600006103516,246.350006103516,846,246.350006103516,2020-04-28
246,247.600006103516,245.800003051758,246.970001220703,1400,246.970001220703,2020-04-29
246.830001831055,248.25,246.820007324219,248.110000610352,1591,248.110000610352,2020-04-30
248.139999389648,248.139999389648,246.75,247.440002441406,1121,247.440002441406,2020-05-04
247.080001831055,247.779998779297,246.369995117188,247.600006103516,3178,247.600006103516,2020-05-05
247.169998168945,247.169998168945,245.300003051758,245.539993286133,1720,245.539993286133,2020-05-06
245.850006103516,246.399993896484,244.619995117188,246.399993896484,2317,246.399993896484,2020-05-07
246.899993896484,247.190002441406,246.460006713867,247.190002441406,1451,247.190002441406,2020-05-08
246.070007324219,246.389999389648,245.830001831055,245.830001831055,1143,245.830001831055,2020-05-11
246.020004272461,246.690002441406,245.479995727539,246.440002441406,2180,246.440002441406,2020-05-12
246.639999389648,247.460006713867,246.279998779297,246.949996948242,627,246.949996948242,2020-05-13
247.320007324219,247.399993896484,246.550003051758,246.600006103516,1521,246.600006103516,2020-05-14
247.070007324219,247.389999389648,246.539993286133,246.539993286133,1740,246.539993286133,2020-05-15
246.550003051758,246.990005493164,246.259994506836,246.729995727539,1730,246.729995727539,2020-05-18
247.5,247.649993896484,246.529998779297,247.320007324219,2450,247.320007324219,2020-05-19
247.389999389648,247.539993286133,246.960006713867,247.369995117188,2839,247.369995117188,2020-05-20
247.779998779297,247.789993286133,247.080001831055,247.789993286133,1323,247.789993286133,2020-05-21
248.050003051758,248.130004882812,247.490005493164,247.770004272461,2564,247.770004272461,2020-05-22
247.059997558594,248.190002441406,247.059997558594,247.589996337891,723,247.589996337891,2020-05-25
247.440002441406,247.440002441406,247.089996337891,247.259994506836,3388,247.259994506836,2020-05-26
247.630004882812,248.059997558594,247.320007324219,247.910003662109,1606,247.910003662109,2020-05-27
248,248.839996337891,247.529998779297,248.710006713867,2697,248.710006713867,2020-05-28
248.940002441406,249.419998168945,248.240005493164,249.419998168945,7076,249.419998168945,2020-05-29
248.440002441406,248.850006103516,248.050003051758,248.740005493164,2727,248.740005493164,2020-06-01
248.539993286133,248.970001220703,247.850006103516,247.850006103516,277,247.850006103516,2020-06-02
247.839996337891,248.100006103516,247.210006713867,247.259994506836,10807,247.259994506836,2020-06-03
247.089996337891,248.919998168945,247,247.75,2953,247.75,2020-06-04
247.550003051758,247.720001220703,247.149993896484,247.720001220703,4105,247.720001220703,2020-06-05
247.5,248.179992675781,246.539993286133,248.100006103516,2871,248.100006103516,2020-06-08
247.710006713867,248.229995727539,247.330001831055,247.270004272461,6540,247.270004272461,2020-06-09
247.490005493164,247.580001831055,246.770004272461,247.139999389648,2686,247.139999389648,2020-06-10
247.509994506836,248.449996948242,247.509994506836,248.529998779297,1369,248.529998779297,2020-06-11
248.350006103516,249.509994506836,248.130004882812,249.509994506836,1548,249.509994506836,2020-06-12
249.440002441406,249.509994506836,248.899993896484,248.940002441406,447,248.940002441406,2020-06-15
249.160003662109,249.350006103516,248.779998779297,249.25,1903,249.25,2020-06-16
249.279998779297,249.449996948242,248.699996948242,249.25,1823,249.25,2020-06-17
249.449996948242,250.190002441406,249.100006103516,249.960006713867,365,249.960006713867,2020-06-18
249.570007324219,250.300003051758,249.470001220703,250.25,914,250.25,2020-06-19
