"SGLD.MI.Open","SGLD.MI.High","SGLD.MI.Low","SGLD.MI.Close","SGLD.MI.Volume","SGLD.MI.Adjusted","Date"
170.929992675781,171.259994506836,170.440002441406,171.229995727539,5099,171.229995727539,2023-08-24
171.369995117188,171.580001831055,170.539993286133,170.690002441406,12211,170.690002441406,2023-08-25
170.949996948242,171.740005493164,170.830001831055,171.740005493164,18145,171.740005493164,2023-08-28
171.809997558594,172.350006103516,171.190002441406,172.259994506836,8986,172.259994506836,2023-08-29
171.960006713867,172.130004882812,171.740005493164,171.809997558594,7375,171.809997558594,2023-08-30
172.169998168945,173.039993286133,172.169998168945,172.779998779297,12923,172.779998779297,2023-08-31
172.740005493164,173.539993286133,172.679992675781,173.300003051758,8873,173.300003051758,2023-09-01
173.949996948242,174,173.179992675781,173.470001220703,13835,173.470001220703,2023-09-04
173.630004882812,173.839996337891,173.350006103516,173.600006103516,13177,173.600006103516,2023-09-05
173.399993896484,173.419998168945,172.690002441406,172.690002441406,10686,172.690002441406,2023-09-06
172.820007324219,173.600006103516,172.720001220703,173.070007324219,17314,173.070007324219,2023-09-07
173.429992675781,173.729995727539,173.100006103516,173.100006103516,16958,173.100006103516,2023-09-08
173.410003662109,173.570007324219,172.559997558594,172.729995727539,19660,172.729995727539,2023-09-11
172.690002441406,173.029998779297,171.910003662109,172.009994506836,12209,172.009994506836,2023-09-12
171.699996948242,172.110000610352,171.410003662109,171.720001220703,21900,171.720001220703,2023-09-13
171.419998168945,172.929992675781,171.279998779297,172.729995727539,11355,172.729995727539,2023-09-14
173.710006713867,174.660003662109,173.479995727539,174.220001220703,11943,174.220001220703,2023-09-15
174.630004882812,174.660003662109,174.089996337891,174.089996337891,7503,174.089996337891,2023-09-18
174.580001831055,174.869995117188,174.360000610352,174.75,8758,174.75,2023-09-19
174.460006713867,175.169998168945,174.089996337891,175.149993896484,9437,175.149993896484,2023-09-20
174.820007324219,174.910003662109,173.589996337891,173.679992675781,38674,173.679992675781,2023-09-21
174.449996948242,175.199996948242,174.320007324219,174.589996337891,19459,174.589996337891,2023-09-22
174.440002441406,175.199996948242,174.410003662109,174.940002441406,9605,174.940002441406,2023-09-25
174.490005493164,174.559997558594,173.529998779297,173.759994506836,10532,173.759994506836,2023-09-26
173.419998168945,173.449996948242,172.600006103516,172.550003051758,8836,172.550003051758,2023-09-27
172.460006713867,172.460006713867,169.839996337891,169.929992675781,12108,169.929992675781,2023-09-28
170.520004272461,171.179992675781,169.059997558594,169.059997558594,18451,169.059997558594,2023-09-29
168.199996948242,168.559997558594,167.729995727539,168.410003662109,18444,168.410003662109,2023-10-02
168.059997558594,168.800003051758,167.770004272461,168.399993896484,27611,168.399993896484,2023-10-03
167.929992675781,167.970001220703,167.059997558594,167.470001220703,10615,167.470001220703,2023-10-04
167.320007324219,167.5,166.479995727539,166.479995727539,15769,166.479995727539,2023-10-05
166.669998168945,167.800003051758,166.240005493164,167.190002441406,12647,167.190002441406,2023-10-06
169.440002441406,169.850006103516,168.729995727539,169.490005493164,19071,169.490005493164,2023-10-09
169.699996948242,169.75,168.979995727539,169.169998168945,10294,169.169998168945,2023-10-10
169.630004882812,170.669998168945,169.5,170.199996948242,8640,170.199996948242,2023-10-11
170.910003662109,171.559997558594,170.75,171.300003051758,8904,171.300003051758,2023-10-12
172,176.770004272461,171.940002441406,176.669998168945,22051,176.669998168945,2023-10-13
174.929992675781,176.300003051758,174.800003051758,175.919998168945,20074,175.919998168945,2023-10-16
175.639999389648,176.690002441406,175.399993896484,175.589996337891,23835,175.589996337891,2023-10-17
176.779998779297,179.210006713867,176.720001220703,178.149993896484,33109,178.149993896484,2023-10-18
178.289993286133,179,178.080001831055,178.559997558594,17734,178.559997558594,2023-10-19
180.669998168945,181.979995727539,180.050003051758,181.789993286133,19782,181.789993286133,2023-10-20
180.190002441406,180.490005493164,179.380004882812,179.5,22766,179.5,2023-10-23
178.660003662109,179,177.699996948242,178.960006713867,29154,178.960006713867,2023-10-24
179.690002441406,181.389999389648,179,180.169998168945,20998,180.169998168945,2023-10-25
181.770004272461,182.360000610352,180.720001220703,181.360000610352,35338,181.360000610352,2023-10-26
181.729995727539,181.809997558594,180.419998168945,180.350006103516,17859,180.350006103516,2023-10-27
182.309997558594,182.479995727539,181.399993896484,181.919998168945,19679,181.919998168945,2023-10-30
181.410003662109,182.589996337891,180.740005493164,182,22441,182,2023-10-31
180.809997558594,182.589996337891,180.740005493164,181.130004882812,18004,181.130004882812,2023-11-01
180.869995117188,181.089996337891,179.639999389648,180.240005493164,19157,180.240005493164,2023-11-02
180.410003662109,180.720001220703,178.800003051758,179.149993896484,42574,179.149993896484,2023-11-03
178.350006103516,178.690002441406,177.919998168945,178.130004882812,12594,178.130004882812,2023-11-06
177.690002441406,177.979995727539,176.839996337891,177.520004272461,31557,177.520004272461,2023-11-07
177.869995117188,178.020004272461,176,176.360000610352,7762,176.360000610352,2023-11-08
175.710006713867,177,175.360000610352,176.910003662109,13933,176.910003662109,2023-11-09
