"CSUS.MI.Open","CSUS.MI.High","CSUS.MI.Low","CSUS.MI.Close","CSUS.MI.Volume","CSUS.MI.Adjusted","Date"
254.410003662109,254.410003662109,251.690002441406,254.789993286133,62,254.789993286133,2020-04-20
250.419998168945,250.419998168945,243.759994506836,243.710006713867,46,243.710006713867,2020-04-21
247.339996337891,249.320007324219,246.720001220703,249.389999389648,1688,249.389999389648,2020-04-22
252.289993286133,252.289993286133,252.289993286133,253.839996337891,60,253.839996337891,2020-04-23
252.610000610352,252.75,251.029998779297,250.679992675781,88,250.679992675781,2020-04-24
255.279998779297,256.899993896484,255.279998779297,256.980010986328,1182,256.980010986328,2020-04-27
258.269989013672,259.339996337891,256.940002441406,257.450012207031,35,257.450012207031,2020-04-28
260.260009765625,261.899993896484,260.190002441406,262.290008544922,36,262.290008544922,2020-04-29
263.869995117188,263.880004882812,258.459991455078,258.440002441406,61,258.440002441406,2020-04-30
249.729995727539,250.899993896484,247.970001220703,250.210006713867,53,250.210006713867,2020-05-04
254.789993286133,258.700012207031,254.520004272461,258.790008544922,2305,258.790008544922,2020-05-05
258.420013427734,259.339996337891,258.420013427734,258.309997558594,24,258.309997558594,2020-05-06
259.410003662109,260.600006103516,258.700012207031,260.450012207031,87,260.450012207031,2020-05-07
262.029998779297,262.029998779297,261.309997558594,261.660003662109,63,261.660003662109,2020-05-08
264.730010986328,264.730010986328,260.589996337891,262.989990234375,68,262.989990234375,2020-05-11
263.089996337891,264.220001220703,262.890014648438,262.410003662109,27,262.410003662109,2020-05-12
262.410003662109,262.410003662109,262.410003662109,262.410003662109,0,262.410003662109,2020-05-13
253.979995727539,253.979995727539,253.339996337891,252.330001831055,29,252.330001831055,2020-05-14
255.949996948242,255.949996948242,254.910003662109,254.929992675781,18,254.929992675781,2020-05-15
261.119995117188,263.549987792969,261.119995117188,264.420013427734,46,264.420013427734,2020-05-18
264.420013427734,264.420013427734,264.420013427734,264.420013427734,0,264.420013427734,2020-05-19
262.25,263.869995117188,262.25,264.019989013672,18,264.019989013672,2020-05-20
262.549987792969,263.380004882812,262.549987792969,261.839996337891,408,261.839996337891,2020-05-21
261.869995117188,263.420013427734,261.869995117188,262.859985351562,770,262.859985351562,2020-05-22
266.820007324219,267.609985351562,266.820007324219,267.660003662109,1210,267.660003662109,2020-05-25
268.489990234375,268.489990234375,267.559997558594,267.049987792969,41,267.049987792969,2020-05-26
267.809997558594,269.779998779297,265.089996337891,265.470001220703,534,265.470001220703,2020-05-27
269.790008544922,269.799987792969,268.929992675781,269.049987792969,1243,269.049987792969,2020-05-28
266.190002441406,266.190002441406,264.640014648438,264.140014648438,1135,264.140014648438,2020-05-29
267.489990234375,267.489990234375,266.600006103516,267.279998779297,259,267.279998779297,2020-06-01
268.470001220703,268.470001220703,266.690002441406,266.829986572266,10,266.829986572266,2020-06-02
269.390014648438,270.410003662109,269.390014648438,270.679992675781,432,270.679992675781,2020-06-03
270.679992675781,270.679992675781,270.679992675781,270.679992675781,0,270.679992675781,2020-06-04
270.679992675781,270.679992675781,270.679992675781,270.679992675781,0,270.679992675781,2020-06-05
276.5,277.089996337891,276.100006103516,276.880004882812,705,276.880004882812,2020-06-08
277.200012207031,277.200012207031,277,275.579986572266,304,275.579986572266,2020-06-09
275.089996337891,275.089996337891,275.089996337891,274.540008544922,20,274.540008544922,2020-06-10
268.899993896484,268.899993896484,268.480010986328,264.619995117188,21,264.619995117188,2020-06-11
263.089996337891,265.309997558594,262.429992675781,262.290008544922,142,262.290008544922,2020-06-12
256.809997558594,259.160003662109,256.809997558594,261.429992675781,229,261.429992675781,2020-06-15
266.809997558594,272.809997558594,266.809997558594,270.869995117188,364,270.869995117188,2020-06-16
272.190002441406,273.600006103516,271.799987792969,271.690002441406,1039,271.690002441406,2020-06-17
271.209991455078,271.760009765625,269.299987792969,271.160003662109,886,271.160003662109,2020-06-18
271.160003662109,271.160003662109,271.160003662109,271.160003662109,0,271.160003662109,2020-06-19
270.290008544922,270.290008544922,268.720001220703,269.510009765625,2046,269.510009765625,2020-06-22
271.989990234375,272.779998779297,270.910003662109,272.190002441406,1831,272.190002441406,2020-06-23
268.450012207031,269.519989013672,265.299987792969,265.489990234375,508,265.489990234375,2020-06-24
266.170013427734,266.170013427734,266.170013427734,265.880004882812,75,265.880004882812,2020-06-25
268.609985351562,268.970001220703,268.600006103516,264.390014648438,285,264.390014648438,2020-06-26
264.390014648438,264.390014648438,264.390014648438,264.390014648438,0,264.390014648438,2020-06-29
266.769989013672,266.769989013672,266.769989013672,268.019989013672,3,268.019989013672,2020-06-30
271,271,269.989990234375,269.630004882812,99,269.630004882812,2020-07-01
269.630004882812,269.630004882812,269.630004882812,269.630004882812,0,269.630004882812,2020-07-02
269.630004882812,269.630004882812,269.630004882812,269.630004882812,0,269.630004882812,2020-07-03
275.829986572266,275.829986572266,275.829986572266,275.799987792969,1,275.799987792969,2020-07-06
275.799987792969,275.799987792969,275.799987792969,275.799987792969,0,275.799987792969,2020-07-07
274.700012207031,274.700012207031,272.820007324219,272.649993896484,73,272.649993896484,2020-07-08
274.559997558594,275.160003662109,271.440002441406,271.510009765625,61,271.510009765625,2020-07-09
272.950012207031,272.950012207031,272.950012207031,274.600006103516,1,274.600006103516,2020-07-10
278.339996337891,279.350006103516,278.339996337891,279.600006103516,42,279.600006103516,2020-07-13
274.320007324219,274.320007324219,274.320007324219,272.269989013672,1,272.269989013672,2020-07-14
276.019989013672,277.720001220703,275.820007324219,277.070007324219,296,277.070007324219,2020-07-15
275.510009765625,275.619995117188,274.709991455078,275.25,142,275.25,2020-07-16
275.910003662109,275.910003662109,275.910003662109,276.320007324219,5,276.320007324219,2020-07-17
275.980010986328,277.709991455078,275.420013427734,277.660003662109,557,277.660003662109,2020-07-20
281.890014648438,281.890014648438,280.970001220703,279.779998779297,381,279.779998779297,2020-07-21
277.359985351562,277.359985351562,277.359985351562,276.440002441406,70,276.440002441406,2020-07-22
278,278,277.100006103516,277.459991455078,276,277.459991455078,2020-07-23
272.390014648438,273.5,271.619995117188,271.75,318,271.75,2020-07-24
271.75,271.75,271.75,271.75,0,271.75,2020-07-27
271.739990234375,271.739990234375,270.190002441406,271.130004882812,36,271.130004882812,2020-07-28
269.510009765625,269.510009765625,269.510009765625,270.799987792969,300,270.799987792969,2020-07-29
269.809997558594,270.089996337891,267.510009765625,269.170013427734,104,269.170013427734,2020-07-30
270.320007324219,271.529998779297,268.220001220703,269.890014648438,177,269.890014648438,2020-07-31
273.390014648438,275.899993896484,273.390014648438,275.799987792969,27,275.799987792969,2020-08-03
274.690002441406,275.989990234375,274.329986572266,275.559997558594,595,275.559997558594,2020-08-04
274.899993896484,275.380004882812,274.899993896484,274.649993896484,269,274.649993896484,2020-08-05
275.529998779297,276.019989013672,274.779998779297,275.5,854,275.5,2020-08-06
277.510009765625,278.890014648438,277.339996337891,278.470001220703,470,278.470001220703,2020-08-07
280.390014648438,280.399993896484,279.070007324219,279.149993896484,655,279.149993896484,2020-08-10
281.489990234375,281.589996337891,280.720001220703,281.119995117188,52,281.119995117188,2020-08-11
280.119995117188,281.190002441406,279.589996337891,280.769989013672,1290,280.769989013672,2020-08-12
279.970001220703,280.209991455078,279.010009765625,280.75,1331,280.75,2020-08-13
279.920013427734,279.970001220703,279.920013427734,280.089996337891,311,280.089996337891,2020-08-14
279.890014648438,279.890014648438,279.890014648438,280.350006103516,1,280.350006103516,2020-08-17
280.350006103516,280.350006103516,280.350006103516,280.350006103516,0,280.350006103516,2020-08-18
280.779998779297,280.899993896484,280.690002441406,280.75,455,280.75,2020-08-19
280.75,280.75,280.75,280.75,0,280.75,2020-08-20
281.820007324219,282.980010986328,281.209991455078,283.059997558594,26,283.059997558594,2020-08-21
284.410003662109,284.950012207031,284.410003662109,284.850006103516,208,284.850006103516,2020-08-24
284.850006103516,284.850006103516,284.850006103516,284.850006103516,0,284.850006103516,2020-08-25
286.709991455078,287.890014648438,286.709991455078,287.940002441406,162,287.940002441406,2020-08-26
291.309997558594,291.309997558594,291.309997558594,291.350006103516,30,291.350006103516,2020-08-27
289.790008544922,289.790008544922,289.790008544922,289.359985351562,5,289.359985351562,2020-08-28
291.709991455078,291.709991455078,289.040008544922,288.380004882812,4,288.380004882812,2020-08-31
